"","Region","Year","Score"
"1","Africa",2021,49.9688521117463
"2","Africa",2020,50.0474688299412
"3","Africa",2019,50.0933536016081
"4","Africa",2018,50.1293094525891
"5","Africa",2017,50.1425403665279
"6","Africa",2016,50.185222105816
"7","Africa",2015,50.6854068107285
"8","Africa",2014,50.3904762954268
"9","Africa",2013,50.2751037179418
"10","Africa",2012,50.7678026914659
"11","Africa",2011,50.681138514037
"12","Africa",2010,50.7625717837969
"13","Africa",2009,50.6020635045948
"14","Africa",2008,50.6575594069345
"15","Africa",2007,51.5060174626603
"16","Africa",2006,51.4736180806585
"17","Africa",2005,51.8406025948506
"18","Africa",2004,52.2423838688624
"19","Africa",2003,53.0053870200466
"20","Africa",2002,53.4528391859086
"21","Africa",2001,52.89457701731
"22","Africa",2000,51.7886410910932
"23","Africa",1999,51.4115858862629
"24","Africa",1998,52.7655186623119
"25","Africa",1997,52.7048612577971
"26","Africa",1996,50.9278395272964
"27","Africa",1995,51.0825395851897
"28","Africa",1994,49.7228634521959
"29","Africa",1993,48.6525529539896
"30","Africa",1992,48.5333357400292
"31","Africa",1991,49.931966649095
"32","Africa",1990,46.7429687616413
"33","Africa",1989,44.7850448631387
"34","Africa",1988,45.0247993289001
"35","Africa",1987,46.0737034290609
"36","Africa",1986,45.9230390225448
"37","Africa",1985,46.3037961076887
"38","Africa",1984,44.3128657431302
"39","Africa",1983,45.5531991564891
"40","Africa",1982,45.5336585965013
"41","Africa",1981,45.3519204700052
"42","Africa",1980,45.3834975857035
"43","Africa",1979,45.4236244358574
"44","Africa",1978,45.4588177650899
"45","Africa",1977,45.4975570422888
"46","Africa",1976,45.5555583402053
"47","Africa",1975,45.552413358969
"48","Africa",1974,45.5259802601735
"49","Africa",1973,45.4809830505577
"50","Africa",1972,45.657317711625
"51","Africa",1971,45.6616898382565
"52","Africa",1970,45.7850157911867
"53","Africa",1969,45.9034646247871
"54","Africa",1968,45.8146675396568
"55","Africa",1967,45.7698888696316
"56","Africa",1966,45.7507461849166
"57","Africa",1965,45.7422904898739
"58","Africa",1964,45.3744633469833
"59","Africa",1963,45.3732742446663
"60","Africa",1962,45.2866559862877
"61","Africa",1961,45.2450307362046
"62","Africa",1960,45.0169213995588
"63","Africa",1959,44.919458028087
"64","Africa",1958,44.7510170489801
"65","Africa",1957,44.6258630603656
"66","Africa",1956,44.2169859181466
"67","Africa",1955,43.9215104196867
"68","Africa",1954,43.4938973935811
"69","Africa",1953,43.1368065411268
"70","Africa",1952,42.3210663244312
"71","Africa",1951,41.6528482059436
"72","Africa",1950,41.0573386227638
"73","Americas",2021,52.2441237094686
"74","Americas",2020,51.6094127125387
"75","Americas",2019,51.7447014738686
"76","Americas",2018,51.4789715522166
"77","Americas",2017,51.3095287911547
"78","Americas",2016,51.3125523572747
"79","Americas",2015,50.1983530823581
"80","Americas",2014,50.2435180879553
"81","Americas",2013,50.9865065378991
"82","Americas",2012,51.215962779816
"83","Americas",2011,52.8725042804325
"84","Americas",2010,53.5363744059516
"85","Americas",2009,52.2918371450007
"86","Americas",2008,50.8531066077386
"87","Americas",2007,50.69673372351
"88","Americas",2006,49.5290872198935
"89","Americas",2005,49.1305590893129
"90","Americas",2004,48.5570274165278
"91","Americas",2003,48.5497862564602
"92","Americas",2002,48.1537326458917
"93","Americas",2001,47.745030836604
"94","Americas",2000,48.1556657459968
"95","Americas",1999,49.728742402924
"96","Americas",1998,50.8356643408372
"97","Americas",1997,50.9859968975203
"98","Americas",1996,52.1559664763343
"99","Americas",1995,52.1896926915175
"100","Americas",1994,54.1319630446128
"101","Americas",1993,54.4766376152344
"102","Americas",1992,54.955920451066
"103","Americas",1991,55.0157681126216
"104","Americas",1990,56.3442720676864
"105","Americas",1989,57.4349075925675
"106","Americas",1988,57.6206688587773
"107","Americas",1987,57.8817898407501
"108","Americas",1986,58.3577419352914
"109","Americas",1985,59.0054771142242
"110","Americas",1984,58.803151236803
"111","Americas",1983,59.0450498453384
"112","Americas",1982,59.3577879966189
"113","Americas",1981,58.7464015643448
"114","Americas",1980,59.0734278625055
"115","Americas",1979,60.709216967073
"116","Americas",1978,60.716958403779
"117","Americas",1977,60.6911440467546
"118","Americas",1976,61.7019727362855
"119","Americas",1975,61.1719465808172
"120","Americas",1974,61.5020585062685
"121","Americas",1973,61.2707862597418
"122","Americas",1972,61.1761773835177
"123","Americas",1971,61.5823324082813
"124","Americas",1970,60.7506399631949
"125","Americas",1969,61.5253989907548
"126","Americas",1968,61.5158335508787
"127","Americas",1967,61.3764525584719
"128","Americas",1966,61.7487919214039
"129","Americas",1965,61.8682661136937
"130","Americas",1964,61.9491440693554
"131","Americas",1963,61.4963910112775
"132","Americas",1962,61.1205289563739
"133","Americas",1961,61.2635366327696
"134","Americas",1960,60.8629447123391
"135","Americas",1959,60.1082600833443
"136","Americas",1958,60.5351154338054
"137","Americas",1957,60.4967092177507
"138","Americas",1956,60.2937364265413
"139","Americas",1955,59.668589717634
"140","Americas",1954,59.4447835963174
"141","Americas",1953,59.5842775229232
"142","Americas",1952,59.2638777751684
"143","Americas",1951,59.1548652165379
"144","Americas",1950,54.786532410126
"145","Asia",2021,54.3008099536218
