"","Country","Year","Score"
"1","China",2021,57.3216682087417
"2","China",2020,57.2544671136162
"3","China",2019,57.207953269777
"4","China",2018,57.0601170372569
"5","China",2017,56.9981967245067
"6","China",2016,56.9187737516996
"7","China",2015,56.8474025816095
"8","China",2014,56.9032082750663
"9","China",2013,56.5665607535941
"10","China",2012,56.5641246318547
"11","China",2011,56.3090761339586
"12","China",2010,56.3086791662086
"13","China",2009,56.3141193610506
"14","China",2008,56.4125711960063
"15","China",2007,56.4548507822773
"16","China",2006,56.4823575315179
"17","China",2005,56.546369839013
"18","China",2004,56.5130343212524
"19","China",2003,56.3575224549797
"20","China",2002,55.8213776103318
"21","China",2001,55.6661253621974
"22","China",2000,55.6215846280852
"23","China",1999,55.9057602971744
"24","China",1998,55.5793469780253
"25","China",1997,55.6573880919462
"26","China",1996,55.753772104902
"27","China",1995,55.7863059150917
"28","China",1994,56.3418063758054
"29","China",1993,56.7633612469169
"30","China",1992,56.665318472698
"31","China",1991,56.10555344209
"32","China",1990,55.3102827120188
"33","China",1989,55.753148679087
"34","China",1988,54.4515604969086
"35","China",1987,54.2937767392189
"36","China",1986,55.4415740509752
"37","China",1985,56.7735748424699
"38","China",1984,57.4649902331724
"39","China",1983,58.1719891282967
"40","China",1982,58.4201159665654
"41","China",1981,58.8443532034861
"42","China",1980,59.4482036102356
"43","China",1979,59.5649019494234
"44","China",1978,59.782489011183
"45","China",1977,59.4924959785428
"46","China",1976,58.5956278419142
"47","China",1975,58.6694730015931
"48","China",1974,58.5450958112278
"49","China",1973,58.5370702823712
"50","China",1972,59.1150099113464
"51","China",1971,58.6862764346367
"52","China",1970,58.2385865061766
"53","China",1969,58.68629240604
"54","China",1968,58.5129906282247
"55","China",1967,58.4182116990564
"56","China",1966,58.2750729675993
"57","China",1965,57.7295420918212
"58","China",1964,58.3818574846191
"59","China",1963,57.9048912426384
"60","China",1962,57.7729002412661
"61","China",1961,57.4907803199674
"62","China",1960,56.5336124877197
"63","China",1959,54.807545599393
"64","China",1958,52.9592441920072
"65","China",1957,52.3614078425995
"66","China",1956,52.1646654506927
"67","China",1955,52.1581870803964
"68","China",1954,52.0867159366718
"69","China",1953,52.0600592860003
"70","China",1952,52.0324298457676
"71","China",1951,51.99157296882
"72","China",1950,51.9854163390047
"73","Norway",2021,35.2987027237246
"74","Norway",2020,35.4394668362024
"75","Norway",2019,35.3409465798327
"76","Norway",2018,35.2360943520714
