species,common_name,perc_mean,perc_biv_low,perc_flive_bedible,,,,,,
Carassius carassius,Crucian carp,58,52,100,,,,,,
Catla catla,Catla,60,58,100,,,,,,
Chanos chanos,Milkfish,60,58,100,,,,,,
Clarias gariepinus,African sharptooth catfish,60,58,100,,,,,,
Crassostrea virginica,Eastern oyster,42,10.75,42,,,,,,
Ctenopharyngodon idellus,Grass carp,60,58,100,,,,,,
Cyprinus carpio,Common carp,60,58,100,,,,,,
Dicentrarchus labrax,European seabass,51,50,100,,,,,,
Epinephelus coioides,Orange-spotted grouper,63,63,100,,,,,,
Eriocheir sinensis,Chinese mitten crab,30,23.5,30,,,,,,
Eucheuma denticulatum,Spiny eucheuma,34.5,31,100,,,,,,
Gracilaria gracilis,Ogonori,34.5,31,100,,,,,,
Hypophthalmichthys molitrix,Silver carp,60,58,100,,,,,,
Hypophthalmichthys nobilis,Bighead carp,60,58,100,,,,,,
Kappaphycus alvarezii,Elkhorn sea moss,34.5,31,100,,,,,,
Labeo rohita,Roho labeo,60,58,100,,,,,,
Laminaria japonica,Japanese kelp,34.5,31,100,,,,,,
Larimichthys croceus,Large yellow croaker,54,51,100,,,,,,
Lateolabrax japonicus,Japanese seabass,63,63,100,,,,,,
Lates calcarifer,Barramundi or Giant seaperch,58,52,100,,,,,,
Macrobrachium nipponense,Oriental river prawn,52,45,52,,,,,,
Macrobrachium rosenbergii,Giant river prawn,52,45,52,,,,,,
Magallana gigas,Pacific cupped oyster,42,10.75,42,,,,,,
Megalobrama amblycephala,Wuchang bream,60,58,100,,,,,,
Micropterus salmoides,Largemouth black bass,60,58,100,,,,,,
Mizuhopecten yessoensis,Yesso scallop or giant Ezo scallop,42,13,42,,,,,,
Mugil cephalus,Flathead grey mullet,60,58,100,,,,,,
Mylopharyngodon piceus,Black carp,51,50,100,,,,,,
Mytilus chilensis,Chilean mussel,42,22.06,42,,,,,,
Mytilus edulis,Blue mussel,42,22.06,42,,,,,,
Mytilus galloprovincialis,Mediterranean mussel,42,22.06,42,,,,,,
Oncorhynchus kisutch,Coho salmon,63,42,100,,,,,,
Oncorhynchus mykiss,Rainbow trout,60,58,100,,,,,,
Oreochromis niloticus,Nile tilapia,54,51,100,,,,,,
Pangasianodon hypophthalmus,Striped catfish,60,58,100,,,,,,
Penaeus monodon,Giant tiger prawn,52,52,52,,,,,,
Penaeus vannamei,Whiteleg shrimp,52,52,52,,,,,,
Perna canaliculus,New Zealand green-lipped mussel,42,22.06,42,,,,,,
Porphrya tenera,Nori (tenera),34.5,31,100,,,,,,
Porphyra haitanensis,Nori (haitanensis),34.5,31,100,,,,,,
Porphyra yezoensis,Nori (yezoensis),34.5,31,100,,,,,,
Procambarus clarkii,Red swamp crayfish,30,20.7,30,,,,,,
Ruditapes philippinarum,Japanese carpet shell,42,18,42,,,,,,
Salmo salar,Atlantic salmon,60,58,100,,,,,,
Sargassum fusiforme,Fusiform sargassum,34.5,31,100,,,,,,
Sciaenops ocellatus,Red drum,51,50,100,,,,,,
Scylla paramamosain,Green mud crab,30,30,30,,,,,,
Scylla serrata,Indo-Pacific swamp crab,30,30,30,,,,,,
Seriola quinqueradiata,Japanese amberjack,51,50,100,,,,,,
Sinonovacula constricta,Constricted tagelus,42,18,42,,,,,,
Sparus aurata,Gilthead seabream,58,52,100,,,,,,
Tegillarca granosa,Blood cockle,42,18,42,,,,,,
Trachinotus ovatus,Pompano,64,57,100,,,,,,
Undaria pinnatifida,Wakame,34.5,31,100,,,,,,
