"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Carassius carassius","Crucian carp","Finfish",1000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1624,1515,1549,1533,1533,1504,2068,2262,2383,2706,2415,2228,2645,3340,3050,3260,3025,3077,3741,3805,4269,5102,4472,5157,4695,4567,4791,4415,4903,4046,3995,3512,3623,3525,4524,4169,3540,4099,4134,3949,3924,2954,4248,4706,3955,2537,2017,2106,1796,1677.53,2075.74,2200.33,2038.24,2332.13,2942.91,2458.74,2912.45,4187.86,3960.47,5436.43,5851.93,6067.33,6027.27,6022.97
"2","Chanos chanos","Milkfish","Finfish",59623,62759,68005,78657,81116,92781,93327,99497,114130,120283,121975,132145,128650,126724,135466,132061,142247,139170,161320,157698,167319,171565,167772,169617,183752,184462,183640,190758,197120,211819,245242,322267,355686,386901,353764,318957,310765,332398,345823,333495,434123,416520,343359,359012,380938,365666,370843,364332,379650,441772,467666,494940.4,527977,552083,573775,594827,585383.8,667515,676235.64,717740.66,808568.7,891407.03,943258.98,1044178.73,1041422.97,1115094.74,1194808.88,1167369.94,1327134.95,1296534.81,1283894.57,1278327.08,1226079.58,1188936.04
"3","Clarias gariepinus","African sharptooth catfish","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,23,36,51,56,74,89,138,138,454,448,693,783,1455,2269,5403,4982,5923,9651,6192,9970,8502,12686,18300,21488,25236,26937,42206,62485,90989,113231,208321,282815.2,308038.63,300291.3,298214.08,339304.7,351607.11,363070.69,343182.97,342125.52,362822.44,367531.56,373400.58,400218.82,393559.6,422921.05
"4","Crassostrea virginica","Eastern oyster","Bivalve",10710,12814.2,14914.2,14918.4,17022.6,21226.8,21226.8,21231,19135.2,23339.4,25439.4,25443.6,27547.8,33852,33856.2,31756.2,29660.4,33864.6,33868.8,29668.8,43218,42672,42021,41454,40937.4,54545.4,39753,35905.8,33910.8,28618.8,27951,36918,36354.36,35800.8,44137.38,41176.8,38458.56,34946.1,34050.66,33421.5,14503.86,29581.44,35659.68,31873.8,26635.14,32109,24995.88,27361.74,23408.28,24159.24,17918.04,18924.36,22744.68,30162.72,46478.04,26401.62,40629.54,39304.86,39191.88,39092.76,46974.06,30035.04,43283.94,45520.86,41233.5,41270.46,47600.7,47211.36,53551.26,62168.9166,52580.598,55435.6488,54189.093,54080.88
"5","Ctenopharyngodon idella","Grass carp","Finfish",10527,18328,21251,28210,42718,49034,52829,86894,85482,92086,77771,55643,50456,57576,64012,81380,82982,80261,78076,87841,92636,98740,100146,108427,116248,123136,123367,129127,130870,142794,155616,174568,203707,239535,301426,380313,466644,549518,615858,963590,1054208,1074131,1258896,1500037,1820546,2118169,2461833,2530302,2698347,2903354,2976491,3021957,3136669,3273999,3249099,3396567.99,3434333.39,3640799.5,3798027.14,4118270.09,4213119.42,4415896.39,4590906.45,4767115.01,5038633.4,5314760.8,5447789.94,5519805.51,5704983.13,5729877.78,5790495.62,5983522.16,6161741.49,6218513.07
"6","Cyprinus carpio","Common carp","Finfish",92616,91570,94062,104888,125927,136049,142547,160710,136359,158682,168193,173643,162425,172455,186825,197187,209094,222734,224307,229176,241752,252200,287980,305615,319050,352886,340695,355760,343739,355515,365238,415763,449251,479494,607198,681319,837346,1047843,1087750,1009590,1134344,1018282,1136792,1319089,1535905,1827370,2041280,2060400,2184830,2347277,2410392,2749674,2813522,2956101,2559611,2666316.15,2695208.16,2816376.68,2974374.54,3105808.37,3299275.96,3331556.97,3487890.94,3646214.91,3819035.43,3993697.71,4008024.52,3862885.44,4146693.87,4331155.7,4173432.61,4192020.13,4053062.36,4091349.92
"7","Dicentrarchus labrax","European seabass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,40,50,70,94,130,165,230,300,360,581,949,1151,1667,2245,3921,6744,10139,16811,17092,22263,26320,33832,43804,53898,70694,60385,58133,73456,74064,95044,98173,104474,115745.68,112532.23,134328.4,136563.16,146252.41,147202.19,155924.07,163439.16,191339.92,215571.88,231022.88,259876.03,273508.64,293230.74,288173.48,286967.69
"8","Epinephelus coioides","Orange-spotted grouper","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,3,76,144,108,92,87,195,185,128.81,149.96,454.3,444.9,496.1,325.09,367.26,293.48,354.53,467.95,518.09,278.5,283.99,245.02
"9","Eriocheir sinensis","Chinese mitten crab","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991.5,1449.9,2529.9,2852.7,5292.3,9369,12454.8,18789.3,28136.1,33170.7,45394.5,60751.2,74444.1,88218.3,95386.5,107682.3,113512.8,131884.5,146843.7,155510.1,169478.4,171707.7,184084.62,195211.5,199087.188,216798.822,224205.69,224641.632,225300.921,227084.871,233620.008,232774.893,242487.825,244602.141,266595.579
"10","Eucheuma denticulatum","Spiny eucheuma","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3356,3761,4216,6637,4149,5436,6610,6877,8833,8173,11041,12820,14435,23639,40160,39705,37062,39629,53162,62860,50872,61475,58254,85334,145794,190052,177929,158222,174512,157822,191586.5,221424,226075.2,265537,272722.8,294485,239737,247922,280651,221481,201737,176501.19,173421.44,152016.2,191162.43,218428.22,295661.39
