"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Carassius carassius","Crucian carp","Finfish",800,1200,1200,1200,1200,1200,1200,1200,1200,1200,1299.2,1212,1239.2,1226.4,1226.4,1203.2,1654.4,1809.6,1906.4,2164.8,1932,1782.4,2116,2672,2440,2608,2420,2461.6,2992.8,3044,3415.2,4081.6,3577.6,4125.6,3756,3653.6,3832.8,3532,3922.4,3236.8,3196,2809.6,2898.4,2820,3619.2,3335.2,2832,3279.2,3307.2,3159.2,3139.2,2363.2,3398.4,3764.8,3164,2029.6,1613.6,1684.8,1436.8,1342.024,1660.592,1760.264,1630.592,1865.704,2354.328,1966.992,2329.96,3350.288,3168.376,4349.144,4681.544,4853.864,4821.816,4818.376
"2","Chanos chanos","Milkfish","Finfish",47698.4,50207.2,54404,62925.6,64892.8,74224.8,74661.6,79597.6,91304,96226.4,97580,105716,102920,101379.2,108372.8,105648.8,113797.6,111336,129056,126158.4,133855.2,137252,134217.6,135693.6,147001.6,147569.6,146912,152606.4,157696,169455.2,196193.6,257813.6,284548.8,309520.8,283011.2,255165.6,248612,265918.4,276658.4,266796,347298.4,333216,274687.2,287209.6,304750.4,292532.8,296674.4,291465.6,303720,353417.6,374132.8,395952.32,422381.6,441666.4,459020,475861.6,468307.04,534012,540988.512,574192.528,646854.96,713125.624,754607.184,835342.984,833138.376,892075.792,955847.104,933895.952,1061707.96,1037227.848,1027115.656,1022661.664,980863.664,951148.832
"3","Clarias gariepinus","African sharptooth catfish","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,11.2,18.4,28.8,40.8,44.8,59.2,71.2,110.4,110.4,363.2,358.4,554.4,626.4,1164,1815.2,4322.4,3985.6,4738.4,7720.8,4953.6,7976,6801.6,10148.8,14640,17190.4,20188.8,21549.6,33764.8,49988,72791.2,90584.8,166656.8,226252.16,246430.904,240233.04,238571.264,271443.76,281285.688,290456.552,274546.376,273700.416,290257.952,294025.248,298720.464,320175.056,314847.68,338336.84
"4","Crassostrea virginica","Eastern oyster","Bivalve",13005,15560.1,18110.1,18115.2,20670.3,25775.4,25775.4,25780.5,23235.6,28340.7,30890.7,30895.8,33450.9,41106,41111.1,38561.1,36016.2,41121.3,41126.4,36026.4,52479,51816,51025.5,50337,49709.7,66233.7,48271.5,43599.9,41177.4,34751.4,33940.5,44829,44144.58,43472.4,53595.39,50000.4,46699.68,42434.55,41347.23,40583.25,17611.83,35920.32,43301.04,38703.9,32342.67,38989.5,30352.14,33224.97,28424.34,29336.22,21757.62,22979.58,27618.54,36626.16,56437.62,32059.11,49335.87,47727.33,47590.14,47469.78,57039.93,36471.12,52559.07,55275.33,50069.25,50114.13,57800.85,57328.08,65026.53,75490.8273,63847.869,67314.7164,65801.0415,65669.64
"5","Ctenopharyngodon idella","Grass carp","Finfish",8421.6,14662.4,17000.8,22568,34174.4,39227.2,42263.2,69515.2,68385.6,73668.8,62216.8,44514.4,40364.8,46060.8,51209.6,65104,66385.6,64208.8,62460.8,70272.8,74108.8,78992,80116.8,86741.6,92998.4,98508.8,98693.6,103301.6,104696,114235.2,124492.8,139654.4,162965.6,191628,241140.8,304250.4,373315.2,439614.4,492686.4,770872,843366.4,859304.8,1007116.8,1200029.6,1456436.8,1694535.2,1969466.4,2024241.6,2158677.6,2322683.2,2381192.8,2417565.6,2509335.2,2619199.2,2599279.2,2717254.392,2747466.712,2912639.6,3038421.712,3294616.072,3370495.536,3532717.112,3672725.16,3813692.008,4030906.72,4251808.64,4358231.952,4415844.408,4563986.504,4583902.224,4632396.496,4786817.728,4929393.192,4974810.456
"6","Cyprinus carpio","Common carp","Finfish",74092.8,73256,75249.6,83910.4,100741.6,108839.2,114037.6,128568,109087.2,126945.6,134554.4,138914.4,129940,137964,149460,157749.6,167275.2,178187.2,179445.6,183340.8,193401.6,201760,230384,244492,255240,282308.8,272556,284608,274991.2,284412,292190.4,332610.4,359400.8,383595.2,485758.4,545055.2,669876.8,838274.4,870200,807672,907475.2,814625.6,909433.6,1055271.2,1228724,1461896,1633024,1648320,1747864,1877821.6,1928313.6,2199739.2,2250817.6,2364880.8,2047688.8,2133052.92,2156166.528,2253101.344,2379499.632,2484646.696,2639420.768,2665245.576,2790312.752,2916971.928,3055228.344,3194958.168,3206419.616,3090308.352,3317355.096,3464924.56,3338746.088,3353616.104,3242449.888,3273079.936
"7","Dicentrarchus labrax","European seabass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,24,32,40,56,75.2,104,132,184,240,288,464.8,759.2,920.8,1333.6,1796,3136.8,5395.2,8111.2,13448.8,13673.6,17810.4,21056,27065.6,35043.2,43118.4,56555.2,48308,46506.4,58764.8,59251.2,76035.2,78538.4,83579.2,92596.544,90025.784,107462.72,109250.528,117001.928,117761.752,124739.256,130751.328,153071.936,172457.504,184818.304,207900.824,218806.912,234584.592,230538.784,229574.152
"8","Epinephelus coioides","Orange-spotted grouper","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.8,2.4,2.4,60.8,115.2,86.4,73.6,69.6,156,148,103.048,119.968,363.44,355.92,396.88,260.072,293.808,234.784,283.624,374.36,414.472,222.8,227.192,196.016
"9","Eriocheir sinensis","Chinese mitten crab","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.35,1304.91,2276.91,2567.43,4763.07,8432.1,11209.32,16910.37,25322.49,29853.63,40855.05,54676.08,66999.69,79396.47,85847.85,96914.07,102161.52,118696.05,132159.33,139959.09,152530.56,154536.93,165676.158,175690.35,179178.4692,195118.9398,201785.121,202177.4688,202770.8289,204376.3839,210258.0072,209497.4037,218239.0425,220141.9269,239936.0211
"10","Eucheuma denticulatum","Spiny eucheuma","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3356,3761,4216,6637,4149,5436,6610,6877,8833,8173,11041,12820,14435,23639,40160,39705,37062,39629,53162,62860,50872,61475,58254,85334,145794,190052,177929,158222,174512,157822,191586.5,221424,226075.2,265537,272722.8,294485,239737,247922,280651,221481,201737,176501.19,173421.44,152016.2,191162.43,218428.22,295661.39
"11","Gracilaria gracilis","Ogonori","Algae",300,300,300,400,400,400,400,500,500,500,500,500,500,500,600,625,649,693,738,783,830,1092,1151,1267,1375,1518,1673,1934,2455,2854,3355,3990,5060,3237,8800,7524,8132,11978,25844,38890,46057,66719,58827,59672,77814,63222,120498,118919,82544,45356,55514,85582,93379,503640,821146,933184,1054023.5,1272509,1386547,1511922,1657144,2101006,2680888,3355338,3635868.6,3767020,4248794.27,4174189.26,3467094.3,4739318.3,5180416.89,5933637.54,7581146.72,7021566.28
"12","Hypophthalmichthys molitrix","Silver carp","Finfish",24022.4,42516.8,49336,65949.6,100542.4,115380,122564.8,203961.6,200124,215533.6,181136,127353.6,115551.2,132471.2,147796,189888,193982.4,185624.8,181292.8,203973.6,217496,232042.4,234369.6,249219.2,269453.6,286824,285011.2,299356,299985.6,322737.6,359533.6,406048,483427.2,567626.4,671124.8,869657.6,1027261.6,1150666.4,1270152.8,1165355.2,1216375.2,1177732.8,1307905.6,1523110.4,1775310.4,2066976.8,2340392,2422805.6,2405477.6,2399727.2,2427792,2786130.4,2713810.4,2709746.4,2847692.8,2951971.192,3034762.504,2887759,3033812.576,3235062.56,3177573.008,3140998.904,3091073.296,3398104.296,3658859.776,3770436.024,3764602.736,3756741.984,3828518.24,3856424.016,3918537.072,3978934.712,4059159.064,4118174.576
"13","Hypophthalmichthys nobilis","Bighead carp","Finfish",12244.8,20470.4,24284.8,31738.4,46951.2,53404.8,56209.6,92603.2,90968,97973.6,82540,58706.4,53608.8,60978.4,67824,86842.4,88848,85080,83380.8,93328,99955.2,106512.8,107250.4,114274.4,123069.6,130528,130084.8,133954.4,135031.2,144744,158844.8,179972,210559.2,246926.4,306213.6,405309.6,498492.8,524427.2,585163.2,528659.2,546261.6,568978.4,641144,738571.2,864204.8,1007623.2,1136228,1159856.8,1143344,1142888,1151136.8,1169481.6,1210297.6,1343988.8,1468206.4,1543572.8,1666629.6,1748882.4,1873691.2,1955311.36,2010873.176,2062866.888,2131264.424,2244257.64,2378376.736,2487100.696,2542753.656,2530167.816,2524018.056,2527187.384,2549718.08,2587241.912,2656844.48,2732085.128
"14","Kappaphycus alvarezii","Elkhorn sea moss","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,3000,3000,5000,16000,14000,12000,22685,75009,94373,118130,73855,96752,117661,126430,162385,150259,196548,228201,239142,259247,252566,311065,358051,440684,562043,638885,630411,644367,658437,649464,721644,831859,938102,1155414.2,1283514.8,1450679.6,1492598.1,1670035.2,1765748.55,1884152.1,1952657.25,1959140.5,1721359.2,1706994.6,1744593.3,1522550.44,1542457.33,1594970.82,1625561.87,1600920.87,1495176.95,1819899.15,1774438.74
"15","Labeo catla","Catla","Finfish",3095.2,3432.8,3808,4223.2,4684.8,5196,5763.2,6392,7089.6,7864,8722.4,9674.4,10730.4,11903.2,13203.2,14644.8,16244.8,18020,19988,22172.8,24594.4,27283.2,30264,33572,37241.6,41312.8,45828.8,50839.2,56396.8,62562.4,69400.8,76988.8,85404,94739.2,103450.4,114000,124500,145400,166300,187200,188202.4,232990.4,240918.4,273180,282520.8,358267.2,428459.2,473235.2,444212,486370.4,481856,387752.8,451912.8,468069.6,949711.2,1053977.6,1115605.6,1707143.2,1579864.8,1631296.56,2021136,1590703.2,1808457.44,1820099.04,1814576.288,1850755.312,2007726.984,2166794.008,2497431.048,2629739.472,2832256.8,3027898.496,3316059.288,3583178.192
