year,total_production,group
1950,249971.30499999996,All
1951,301232.01,All
1952,335748.61499999993,All
1953,398432.205,All
1954,455207.08499999996,All
1955,508860.7199999999,All
1956,533174.63,All
1957,706795.5850000002,All
1958,696705.5050000001,All
1959,805176.2,All
1960,843488.3550000002,All
1961,788231.0199999999,All
1962,794898.4299999999,All
1963,896018.8950000003,All
1964,980837.4850000001,All
1965,1057381.4849999996,All
1966,1136339.785,All
1967,1174433.1499999997,All
1968,1232362.2950000002,All
1969,1285275.0650000002,All
1970,1349266.8349999997,All
1971,1502185.3699999999,All
1972,1652728.35,All
1973,1735425.295,All
1974,1893432.4049999998,All
1975,1997175.08,All
1976,2014459.6900000002,All
1977,2315513.075,All
1978,2429487.0599999996,All
1979,2484805.9150000005,All
1980,2747064.7149999994,All
1981,2892411.189999999,All
1982,3076087.7749999985,All
1983,3426297.665,All
1984,3848162.3799999994,All
1985,4287471.770000001,All
1986,4735777.045000001,All
1987,5200784.115000001,All
1988,5722942.965,All
1989,5999965.784999998,All
1990,6170277.094999999,All
1991,6642736.019999998,All
1992,7674663.49,All
1993,8832796.704999998,All
1994,9826142.2,All
1995,10885745.405000005,All
1996,12072546.115000004,All
1997,12388952.930000005,All
1998,12602220.995000001,All
1999,13505263.235,All
2000,13712293.065000001,All
2001,14643516.290000001,All
2002,15404798.288,All
2003,17330519.559999995,All
2004,18900200.898999996,All
2005,20082116.394199997,All
2006,21133930.602500003,All
2007,22299003.7167,All
2008,23678403.248200007,All
2009,24821697.049550004,All
2010,25882697.604199998,All
2011,26892845.268950015,All
2012,28708248.748999994,All
2013,29822343.004500005,All
2014,32148123.07979999,All
2015,33383946.573099993,All
2016,34544200.027950004,All
2017,36021536.780600004,All
2018,37195642.181650005,All
2019,39146055.5043,All
2020,40394766.66025,All
2021,41967116.352549985,All
2022,43189183.08539999,All
2023,45016537.48509999,All
1950,138860.25999999998,Finfish
1951,168669.77999999997,Finfish
1952,185253.20999999996,Finfish
1953,224049.06000000003,Finfish
1954,290582.27999999997,Finfish
1955,327610.13999999996,Finfish
1956,344693.82,Finfish
1957,481010.52,Finfish
1958,472266.78,Finfish
1959,515491.07999999996,Finfish
1960,474625.30000000005,Finfish
1961,408807.63,Finfish
1962,386685.37,Finfish
1963,420590.8700000001,Finfish
1964,465931.21,Finfish
1965,541167.25,Finfish
1966,567007.92,Finfish
1967,570406.0199999999,Finfish
1968,592814.67,Finfish
1969,632611.47,Finfish
1970,678349.5100000001,Finfish
1971,727826.6500000001,Finfish
1972,768942.8200000001,Finfish
1973,815223.7699999998,Finfish
1974,880650.06,Finfish
1975,935192.17,Finfish
1976,942109.3299999998,Finfish
1977,993471.6700000003,Finfish
1978,1016056.8899999998,Finfish
1979,1096275.0899999999,Finfish
1980,1198054.9500000002,Finfish
1981,1370452.4300000002,Finfish
1982,1540439.2699999998,Finfish
1983,1734196.7199999997,Finfish
1984,1980665.68,Finfish
1985,2345064.0900000003,Finfish
1986,2741691.61,Finfish
1987,3147472.4499999997,Finfish
1988,3464683.1499999985,Finfish
1989,3532952.1299999994,Finfish
1990,3860650.7199999997,Finfish
1991,3892911.2399999993,Finfish
1992,4272901.489999999,Finfish
1993,4941136.409999998,Finfish
1994,5736063.1,Finfish
1995,6718753.270000002,Finfish
1996,7634959.640000001,Finfish
1997,8017810.94,Finfish
1998,8214989.9399999995,Finfish
1999,8700293.52,Finfish
2000,9043638.010000002,Finfish
2001,9637753.729999999,Finfish
2002,9936701.99,Finfish
2003,10626584.969999999,Finfish
2004,11552355.506,Finfish
2005,12241335.275,Finfish
2006,12854185.4226,Finfish
2007,13584870.540000005,Finfish
2008,14743104.6688,Finfish
2009,15538752.125800004,Finfish
2010,16308354.4515,Finfish
2011,16862129.653,Finfish
2012,17965881.9723,Finfish
2013,18767280.652899995,Finfish
2014,19727479.013199996,Finfish
2015,20527541.979599994,Finfish
2016,21062948.5988,Finfish
2017,21628083.2152,Finfish
2018,22489217.554300003,Finfish
2019,23259479.525000002,Finfish
2020,23827815.2565,Finfish
2021,24632639.9118,Finfish
2022,25485891.328500006,Finfish
2023,26342553.6735,Finfish
1950,11882.145,Algae
1951,12440.01,Algae
1952,18344.685,Algae
1953,17261.385000000002,Algae
1954,19697.085000000003,Algae
1955,25196.039999999997,Algae
1956,28863.39,Algae
1957,45718.365,Algae
1958,45358.185,Algae
1959,100665.48,Algae
1960,158741.055,Algae
1961,175642.95,Algae
1962,179986.5,Algae
1963,203184.645,Algae
1964,239337.195,Algae
1965,248970.975,Algae
1966,303724.54500000004,Algae
1967,325454.37000000005,Algae
1968,338408.08499999996,Algae
1969,373536.67500000005,Algae
1970,392756.625,Algae
1971,488996.1,Algae
1972,550104.57,Algae
1973,568256.745,Algae
1974,663784.485,Algae
1975,642617.01,Algae
1976,657815.6399999999,Algae
1977,865326.585,Algae
1978,956747.7899999999,Algae
1979,941255.565,Algae
1980,1038925.065,Algae
1981,993793.2,Algae
1982,980635.245,Algae
1983,1095113.145,Algae
1984,1228246.9200000002,Algae
1985,1245807.4200000002,Algae
1986,1225486.575,Algae
1987,1184320.4849999999,Algae
1988,1347925.6950000003,Algae
1989,1516569.975,Algae
1990,1321319.295,Algae
1991,1640906.9399999997,Algae
1992,2096809.26,Algae
1993,2397473.6550000003,Algae
1994,2498921.9400000004,Algae
1995,2487413.7749999994,Algae
1996,2724416.3550000004,Algae
1997,2643993.75,Algae
1998,2541616.0349999997,Algae
1999,2734730.4749999996,Algae
2000,2570160.645,Algae
2001,2591036.25,Algae
2002,2815973.49,Algae
2003,3464617.65,Algae
2004,3818126.7989999996,Algae
2005,4116870.7860000003,Algae
2006,4164714.7995000007,Algae
2007,4267066.0875,Algae
2008,4376716.299,Algae
2009,4561183.84875,Algae
2010,4671467.0145000005,Algae
2011,4936079.06475,Algae
2012,5527101.307500001,Algae
2013,5772768.114000001,Algae
2014,6731003.889,Algae
2015,7013579.6235,Algae
2016,7231751.25135,Algae
2017,7677419.1636,Algae
2018,7658818.56795,Algae
2019,8509151.628899999,Algae
2020,8816966.911349999,Algae
2021,9164276.50695,Algae
2022,9137012.1471,Algae
2023,9758229.6834,Algae
1950,99141,Bivalve
1951,120028.01999999999,Bivalve
1952,132054.72,Bivalve
1953,156986.75999999998,Bivalve
1954,144822.72,Bivalve
1955,155919.54,Bivalve
1956,159442.49999999997,Bivalve
1957,179892.3,Bivalve
1958,178898.58,Bivalve
1959,188802.59999999998,Bivalve
1960,209905.08,Bivalve
1961,203555.52000000005,Bivalve
1962,228000.36,Bivalve
1963,271995.36,Bivalve
1964,275295.72000000003,Bivalve
1965,266932.68,Bivalve
1966,265201.44,Bivalve
1967,278057.64,Bivalve
1968,300416.76000000007,Bivalve
1969,277765.32,Bivalve
1970,276695.16,Bivalve
1971,283611.72000000003,Bivalve
1972,331470.7200000001,Bivalve
1973,349174.13999999996,Bivalve
1974,344909.88,Bivalve
1975,413472.77999999997,Bivalve
1976,406387.38000000006,Bivalve
1977,446738.04000000004,Bivalve
1978,445174.37999999995,Bivalve
1979,431358.48,Bivalve
1980,492110.22000000003,Bivalve
1981,503795.88,Bivalve
1982,518513.0999999999,Bivalve
1983,544179.3,Bivalve
1984,573684.3,Bivalve
1985,625939.02,Bivalve
1986,664825.5599999999,Bivalve
1987,712332.5999999999,Bivalve
1988,740559.9600000001,Bivalve
1989,748425.3,Bivalve
1990,760893,Bivalve
1991,817855.9199999999,Bivalve
1992,973000.1400000001,Bivalve
1993,1144988.88,Bivalve
1994,1197279.7200000002,Bivalve
1995,1266405.0000000002,Bivalve
1996,1296819.2999999998,Bivalve
1997,1310782.2,Bivalve
1998,1396748.64,Bivalve
1999,1576646.4,Bivalve
2000,1509960.27,Bivalve
2001,1703313.5700000003,Bivalve
2002,1836680.7480000001,Bivalve
2003,2016223.44,Bivalve
2004,2111456.214,Bivalve
2005,2131367.49,Bivalve
2006,2243272.7099999995,Bivalve
2007,2419772.88,Bivalve
2008,2444012.6676000003,Bivalve
2009,2470603.4934,Bivalve
2010,2623890.6036,Bivalve
2011,2566716.1632,Bivalve
2012,2605324.7597999997,Bivalve
2013,2641260.1739999996,Bivalve
2014,2749349.2698,Bivalve
2015,2746393.5744000003,Bivalve
2016,2924513.34,Bivalve
2017,2968840.8162,Bivalve
2018,2967673.8966000006,Bivalve
2019,2945328.4601999996,Bivalve
2020,3025070.5884,Bivalve
2021,3072831.5393999997,Bivalve
2022,3108104.5968,Bivalve
2023,3061176.1950000003,Bivalve
1950,87.9,Crustacean
1951,94.2,Crustacean
1952,96,Crustacean
1953,135,Crustacean
1954,105,Crustacean
1955,135,Crustacean
1956,174.92000000000002,Crustacean
1957,174.4,Crustacean
1958,181.96,Crustacean
1959,217.04,Crustacean
1960,216.92000000000002,Crustacean
1961,224.92000000000002,Crustacean
1962,226.2,Crustacean
1963,248.02,Crustacean
1964,273.36,Crustacean
1965,310.58000000000004,Crustacean
1966,405.88,Crustacean
1967,515.12,Crustacean
1968,722.78,Crustacean
1969,1361.6,Crustacean
1970,1465.5400000000002,Crustacean
1971,1750.9,Crustacean
1972,2210.2400000000002,Crustacean
1973,2770.64,Crustacean
1974,4087.98,Crustacean
1975,5893.119999999999,Crustacean
1976,8147.34,Crustacean
1977,9976.779999999999,Crustacean
1978,11508,Crustacean
1979,15916.78,Crustacean
1980,17974.48,Crustacean
1981,24369.68,Crustacean
1982,36500.16,Crustacean
1983,52808.5,Crustacean
1984,65565.48000000001,Crustacean
1985,70661.23999999999,Crustacean
1986,103773.3,Crustacean
1987,156658.58000000002,Crustacean
1988,169774.15999999997,Crustacean
1989,202018.38,Crustacean
1990,227414.08,Crustacean
1991,291061.92000000004,Crustacean
1992,331952.6,Crustacean
1993,349197.76,Crustacean
1994,393877.44000000006,Crustacean
1995,413173.36000000004,Crustacean
1996,416350.82,Crustacean
1997,416366.04000000004,Crustacean
1998,448866.38000000006,Crustacean
1999,493592.84,Crustacean
2000,588534.14,Crustacean
2001,711412.74,Crustacean
2002,815442.06,Crustacean
2003,1223093.5,Crustacean
2004,1418262.38,Crustacean
2005,1592542.8432,Crustacean
2006,1871757.6704,Crustacean
2007,2027294.2092000002,Crustacean
2008,2114569.6128,Crustacean
2009,2251157.5815999997,Crustacean
2010,2278985.5346,Crustacean
2011,2527920.3880000003,Crustacean
2012,2609940.7094,Crustacean
2013,2641034.0636,Crustacean
2014,2940290.9078000006,Crustacean
2015,3096431.3956,Crustacean
2016,3324986.8378000003,Crustacean
2017,3747193.5856,Crustacean
2018,4079932.1628,Crustacean
2019,4432095.890199999,Crustacean
2020,4724913.904,Crustacean
2021,5097368.394400001,Crustacean
2022,5458175.012999999,Crustacean
2023,5854577.9332,Crustacean
