"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Carassius carassius","Crucian carp","Finfish",520,780,780,780,780,780,780,780,780,780,844.48,787.8,805.48,797.16,797.16,782.08,1075.36,1176.24,1239.16,1407.12,1255.8,1158.56,1375.4,1736.8,1586,1695.2,1573,1600.04,1945.32,1978.6,2219.88,2653.04,2325.44,2681.64,2441.4,2374.84,2491.32,2295.8,2549.56,2103.92,2077.4,1826.24,1883.96,1833,2352.48,2167.88,1840.8,2131.48,2149.68,2053.48,2040.48,1536.08,2208.96,2447.12,2056.6,1319.24,1048.84,1095.12,933.92,872.3156,1079.3848,1144.1716,1059.8848,1212.7076,1530.3132,1278.5448,1514.474,2177.6872,2059.4444,2826.9436,3043.0036,3155.0116,3134.1804,3131.9444
"2","Chanos chanos","Milkfish","Finfish",34581.34,36400.22,39442.9,45621.06,47047.28,53812.98,54129.66,57708.26,66195.4,69764.14,70745.5,76644.1,74617,73499.92,78570.28,76595.38,82503.26,80718.6,93565.6,91464.84,97045.02,99507.7,97307.76,98377.86,106576.16,106987.96,106511.2,110639.64,114329.6,122855.02,142240.36,186914.86,206297.88,224402.58,205183.12,184995.06,180243.7,192790.84,200577.34,193427.1,251791.34,241581.6,199148.22,208226.96,220944.04,212086.28,215088.94,211312.56,220197,256227.76,271246.28,287065.432,306226.66,320208.14,332789.5,344999.66,339522.604,387158.7,392216.6712,416289.5828,468969.846,517016.0774,547090.2084,605623.6634,604025.3226,646754.9492,692989.1504,677074.5652,769738.271,751990.1898,744658.8506,741429.7064,711126.1564,689582.9032
"3","Clarias gariepinus","African sharptooth catfish","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,8.12,13.34,20.88,29.58,32.48,42.92,51.62,80.04,80.04,263.32,259.84,401.94,454.14,843.9,1316.02,3133.74,2889.56,3435.34,5597.58,3591.36,5782.6,4931.16,7357.88,10614,12463.04,14636.88,15623.46,24479.48,36241.3,52773.62,65673.98,120826.18,164032.816,178662.4054,174168.954,172964.1664,196796.726,203932.1238,210581.0002,199046.1226,198432.8016,210437.0152,213168.3048,216572.3364,232126.9156,228264.568,245294.209
"4","Crassostrea virginica","Eastern oyster","Bivalve",2741.25,3279.825,3817.325,3818.4,4356.975,5433.05,5433.05,5434.125,4897.7,5973.775,6511.275,6512.35,7050.925,8664.5,8665.575,8128.075,7591.65,8667.725,8668.8,7593.8,11061.75,10922,10755.375,10610.25,10478.025,13961.025,10174.875,9190.175,8679.55,7325.05,7154.125,9449.25,9304.985,9163.3,11297.0675,10539.3,9843.56,8944.5375,8715.3475,8554.3125,3712.2975,7571.44,9127.18,8158.175,6817.3275,8218.375,6397.755,7003.3025,5991.405,6183.615,4586.165,4843.735,5821.555,7720.22,11896.165,6757.5575,10399.2275,10060.1725,10031.255,10005.885,12023.1225,7687.54,11078.6275,11651.1725,10553.8125,10563.2725,12183.5125,12083.86,13706.5725,15912.282225,13458.12925,14188.8863,13869.827375,13842.13
"5","Ctenopharyngodon idella","Grass carp","Finfish",6105.66,10630.24,12325.58,16361.8,24776.44,28439.72,30640.82,50398.52,49579.56,53409.88,45107.18,32272.94,29264.48,33394.08,37126.96,47200.4,48129.56,46551.38,45284.08,50947.78,53728.88,57269.2,58084.68,62887.66,67423.84,71418.88,71552.86,74893.66,75904.6,82820.52,90257.28,101249.44,118150.06,138930.3,174827.08,220581.54,270653.52,318720.44,357197.64,558882.2,611440.64,622995.98,730159.68,870021.46,1055916.68,1228538.02,1427863.14,1467575.16,1565041.26,1683945.32,1726364.78,1752735.06,1819268.02,1898919.42,1884477.42,1970009.4342,1991913.3662,2111663.71,2202855.7412,2388596.6522,2443609.2636,2561219.9062,2662725.741,2764926.7058,2922407.372,3082561.264,3159718.1652,3201487.1958,3308890.2154,3323329.1124,3358487.4596,3470442.8528,3573810.0642,3606737.5806
"6","Cyprinus carpio","Common carp","Finfish",53717.28,53110.6,54555.96,60835.04,73037.66,78908.42,82677.26,93211.8,79088.22,92035.56,97551.94,100712.94,94206.5,100023.9,108358.5,114368.46,121274.52,129185.72,130098.06,132922.08,140216.16,146276,167028.4,177256.7,185049,204673.88,197603.1,206340.8,199368.62,206198.7,211838.04,241142.54,260565.58,278106.52,352174.84,395165.02,485660.68,607748.94,630895,585562.2,657919.52,590603.56,659339.36,765071.62,890824.9,1059874.6,1183942.4,1195032,1267201.4,1361420.66,1398027.36,1594810.92,1631842.76,1714538.58,1484574.38,1546463.367,1563220.7328,1633498.4744,1725137.2332,1801368.8546,1913580.0568,1932303.0426,2022976.7452,2114804.6478,2215040.5494,2316344.6718,2324654.2216,2240473.5552,2405082.4446,2512070.306,2420590.9138,2431371.6754,2350776.1688,2372982.9536
"7","Dicentrarchus labrax","European seabass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,20,25,35,47,65,82.5,115,150,180,290.5,474.5,575.5,833.5,1122.5,1960.5,3372,5069.5,8405.5,8546,11131.5,13160,16916,21902,26949,35347,30192.5,29066.5,36728,37032,47522,49086.5,52237,57872.84,56266.115,67164.2,68281.58,73126.205,73601.095,77962.035,81719.58,95669.96,107785.94,115511.44,129938.015,136754.32,146615.37,144086.74,143483.845
"8","Epinephelus coioides","Orange-spotted grouper","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.78,1.89,1.89,47.88,90.72,68.04,57.96,54.81,122.85,116.55,81.1503,94.4748,286.209,280.287,312.543,204.8067,231.3738,184.8924,223.3539,294.8085,326.3967,175.455,178.9137,154.3626
"9","Eriocheir sinensis","Chinese mitten crab","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.675,1135.755,1981.755,2234.615,4145.635,7339.05,9756.26,14718.285,22039.945,25983.715,35559.025,47588.44,58314.545,69104.335,74719.425,84351.135,88918.36,103309.525,115027.565,121816.245,132758.08,134504.365,144199.619,152915.675,155951.6306,169825.7439,175627.7905,175969.2784,176485.72145,177883.14895,183002.3396,182340.33285,189948.79625,191605.01045,208833.20355
"10","Eucheuma denticulatum","Spiny eucheuma","Algae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,930,930,1040.36,1165.91,1306.96,2057.47,1286.19,1685.16,2049.1,2131.87,2738.23,2533.63,3422.71,3974.2,4474.85,7328.09,12449.6,12308.55,11489.22,12284.99,16480.22,19486.6,15770.32,19057.25,18058.74,26453.54,45196.14,58916.12,55157.99,49048.82,54098.72,48924.82,59391.815,68641.44,70083.312,82316.47,84544.068,91290.35,74318.47,76855.82,87001.81,68659.11,62538.47,54715.3689,53760.6464,47125.022,59260.3533,67712.7482,91655.0309
