ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Atlantic salmon,Americas,Canada,Marine areas,Tonnes - live weight,120186,120427,118630,123184,120553,123522,121926,86347,97629,116101,110328,101544,100212,104075,102509,118061,98370,96774,107228,114921,95606,72495,61990,49475,51015,36475,33674,27773,23483,17305,13499,9625,5967,3431,1385,682,349,222,68,143,76,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic salmon,Americas,Chile,Marine areas,Tonnes - live weight,724835,786905,701331,660644.9,613610.9,531897,608352,622992,470256,386607,254570,120000,230678,388048,330391,375991,385086,348665,279906,265205,253607,166897,103242,107066,96675,77327,54250,34175,29180,23715,14957,9478,1860,165,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic salmon,Americas,United States of America,Marine areas,Tonnes - live weight,16490.52,16490.52,16490.52,16107,14685,16185,18719,18719,18866,19295,18595,19535,14074,16714,11001,10485,9401,15127,16315,12734,20769,22395,17739,14507,18005,13906,14075,10906,10750,10028,6661,3185,2554,898,113,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic salmon,Asia,"Korea, Dem. People's Rep",Marine areas,Tonnes - live weight,60,60,60,60,50,20,20,20,15,15,15,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic salmon,Asia,Türkiye,Marine areas,Tonnes - live weight,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,193,654,434,791,680,1500,300,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic salmon,Asia,United Arab Emirates,Marine areas,Tonnes - live weight,180,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic salmon,Europe,Denmark,Marine areas,Tonnes - live weight,,,,,,,,,,,,,0,0,0,,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic salmon,Europe,Faroe Islands,Marine areas,Tonnes - live weight,115650,88950,95000,78900,86800,83300,80600,86454,75821,76564,60473,45391,51383,38494,22305,13078,18962,40985,52526,44953,46041,33508,39252,19176,21103,17049,8539,14868,17660,18364,17914,13025,7901,3400,3193,1370,940,117,90,60,45,22,,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic salmon,Europe,Finland,Marine areas,Tonnes - live weight,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,143,157,71,117,11,93,92,93,235,9,312,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic salmon,Europe,France,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,1335,1100,1391,1190,735,544,443,90,0,640,650,650,500,494,456,214,250,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
