ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Blood cockle,Asia,Cambodia,Marine areas,Tonnes - live weight,8000,9200,7000,6100,5000,4730,1000,1300,1000,900,800,700,600,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood cockle,Asia,China,Marine areas,Tonnes - live weight,340407,385108,387676,372303,352619,354391,348964,337743,322422,266452,279475,301213,273547,290177,279510,277768,265673,282808,278278,208181,203987,175727,167666,142694,121389,131858,124527,97127,75019,56144,56742,55782,52373,45881,45071,32634,22526,20124,15067,13691,11377,10899,9216,12292,11095,4093,3262,2576,2515,2956,2194,1402,873,594,457,353,246,119,79,50,31,10,3,0,0,0,0,0,0,0,0,0
Blood cockle,Asia,Indonesia,Marine areas,Tonnes - live weight,11340.063,10913,11883,11330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood cockle,Asia,"Korea, Republic of",Marine areas,Tonnes - live weight,143.231,40,37,50,85,142,96,954,1590,2232,1616,1155,2966,1637,28372,5063,3226,10849,2440,413,3842,820,2511,5041,2843,4473,13027,10375,3290,16441,16325,11113,10299,14502,14584,11520,12038,10312,5113,7950,4630,5427,5166,5955,9668,11694,9441,13693,12268,10767,18087,19295,7100,9900,15400,12600,8700,10300,5500,4000,2000,4400,3700,3000,3900,4000,2100,2000,1300,1200,1000,1000
Blood cockle,Asia,Malaysia,Marine areas,Tonnes - live weight,16988.61,18674.386,13771.741,16859.73,12482.34,9596.76,16866.22,40454,40172.21,42132,57544,78025,64938,61138,49620,45674,59521,64565,71067,78712,70816,64396,79912,81717,58400,71796,100276,82334,77755,55587,46625,35932,39346,34867,40794,45664,44770,63583,41937,53165,68912,121271,63412,55598,46423,31642,29000,48983,40000,29800,28600,31700,28300,27000,26900,24500,19400,19300,20000,8080,6080,6070,3560,4060,7000,4000,4000,4000,5000,5000,3500,3500
Blood cockle,Asia,Taiwan Province of China,Marine areas,Tonnes - live weight,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,10,10,0,0,0,1,30,42,24,25,74,57,132,136,78,140,90,100,82,60,61,60,59,80,113,90,90,85,80,70,80,75,70,50,,
Blood cockle,Asia,Thailand,Marine areas,Tonnes - live weight,33526,33925,33064,30162,25862,61501,58991,53716.86,71325,66528,51736,75611,81959,65852,55671,65666,56853,69496,67359,80751,75863,45657,61678,44150,8258,15836,14403,11325,20577,18804,26442,12300,12822,11774,9609,12568,12375,12512,15202,7413,21495,15620,19263,16326,16646,12792,4997,3100,5200,4700,12600,11500,9280,9060,8840,8620,8400,8180,7960,7740,7520,7300,7080,6860,6640,6420,6190,5970,5750,5530,5310,5090
Blue mussel,Africa,Namibia,Marine areas,Tonnes - live weight,,,,,,,10,12,5,8,0.15,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Africa,Senegal,Marine areas,Tonnes - live weight,190,198,200,135,349,741,15.5,14,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Americas,Argentina,Marine areas,Tonnes - live weight,68.9,2,4,5.6,0.54,5.2,6,3.68,5.53,52,124,100,50,62,13,12,35,30,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Americas,Canada,Marine areas,Tonnes - live weight,22567,16985,26090,26822,24448,24584,22725,25231,26119,29033,25897,25675,21461,19835,23835,23876,22842,22857,20517,20540,21362,21287,17397,15018,11561,9898,8622,6866,5141,4877,3956,3598,3391,2045,1740,2062,909,876,244,192,178,190,40,118,75,81,98,78,100,200,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue mussel,Americas,Falkland Is.(Malvinas),Marine areas,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Blue mussel,Americas,United States of America,Marine areas,Tonnes - live weight,2250.476,2250.476,2250.476,2165,2201,2225,1788,1744,2228,3127,2213,2207,2000,1937,1937,2284,2558,1368,1545,3571,1562,2248,1244,1196,1354,2237,930,963,698,639,378,1378,1397,1988,2663,2560,1969,1946,378,773,700,650,600,2727,1030,900,1000,920,800,750,700,727,1182,739,713,689,318,273,636,602,583,545,549,534,521,508,500,487,479,273,465,773
Blue mussel,Europe,Channel Islands,Marine areas,Tonnes - live weight,95,97.148,97.374,79,62.4,3.6,62,39,38,102,89,201,111,127,50,50,50,25,108,96,78,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Europe,Denmark,Marine areas,Tonnes - live weight,8485,6317,6597.53,4516,2414,2221,1229,1810,810,537,537,669,2555.8,1737,949,411,280,55,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue mussel,Europe,France,Marine areas,Tonnes - live weight,55150,55389.538,54207.84,44082.6,45641.6,44926.49,46653.1,45825.9,60047.6,59781,52258,54138,61619.4,64513.5,56700,56675,58105,55361,48488,56111,55220,60819,51600,50800,52350,49962,49194,48413,55000,47423,45783,46642,34296,45762,52312,52959,49073,49289,56583,66989,74761,67128,56482,45061,46644,36385,48374,27727,26000,34600,30900,32500,33500,34100,27800,27900,29900,23500,26500,20900,20500,16100,13600,3400,6600,4300,5100,3800,3400,3300,8900,8300
Blue mussel,Europe,Germany,Marine areas,Tonnes - live weight,14274,13490,22037,15864,16856,22264,10875,5280,5036,6933,20830,4905,3600,6896,10539,3670,9470,12474,28549,8018,11638,24122,37912,31213,22330,38028,17782,4868,24666,50800,29977,20237,18556,29725,25926,29939,20818,59311,31634,16967,10566,10760,3422,11760,11154,22692,17042,15860,10400,8100,5600,9600,6700,11400,11300,11500,7600,5300,4800,5800,10000,13200,14700,9900,6000,5100,10000,5700,7800,11200,6000,6400
Blue mussel,Europe,Iceland,Marine areas,Tonnes - live weight,0,0.06,0.064,108,82.7,68,93,144,166,63,46,32,49,10,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
