"","Species","Continent.Name.En","X2021","X2020","X2019","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988","X1987","X1986","X1985","X1984","X1983","X1982","X1981","X1980","X1979","X1978","X1977","X1976","X1975","X1974","X1973","X1972","X1971","X1970","X1969","X1968","X1967","X1966","X1965","X1964","X1963","X1962","X1961","X1960","X1959","X1958","X1957","X1956","X1955","X1954","X1953","X1952","X1951","X1950"
"1","Carassius carassius","Africa",217.967,178.578,201.44,30,63,58,35.3,51.195,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Chanos chanos","Africa",13,176.45,30.88,356.693,345.62,403.481,235.939,222.593,209.772,231.188,137,8.5,10,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarias gariepinus","Africa",219591.667,206453.922,214362.815,219131.686,217704.44,222534.33,239587.48,238279.44,222140.95,191751.9,200206,193166,151257.2,125555,78850,65594,38051,21075,8227,8025,5182,2192,1189,832,445,2453,6369,5156,4082,4903,1769,955,308,293,148,154,63,118,89,74,56,51,36,23,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Ctenopharyngodon idellus","Africa",0,0,0,0,0,0,0,270,453.5,490,400,240,340,400,396,296,431,748,88866,76257,72786,66586,51607,38638,28031,17910,12038,2778,3070,7413,7346,6281,6252,6166,5122,5042,5014,3002,3500,3450,2750,2500,2250,2000,1750,1500,1200,1200,1200,1150,1000,900,900,800,800,900,1000,1000,800,600,600,400,400,300,200,100,50,0,0,0,0,0
"5","Cyprinus carpio","Africa",25036.435,22813.528,25293.857,26821.55,31225.354,34852.6,32872.2,32765.41,28513.43,25915.87,20763.87,17038.5,28412.4,30767.25,3978.2,3457.2,3303.15,3370,20278,19600,22254,19868,25925,15823,15317,31957,24479,22223,22341,27935,23699,26182,29052,22239,15576,15525,13535,12554,9946,9525,8545,7735,6935,6147,5371,4606,3886,3864,3850,3390,3030,2620,2500,2400,2400,2500,2600,3000,2600,2300,2300,2100,2100,2000,1800,1700,1700,1600,1500,1500,1300,1300
"6","Dicentrarchus labrax","Africa",38616.119,37711.5,33596.696,27132.075,34440.615,27509.7,17383.7,17284.118,14164.195,15857.937,20397.313,17814.299,6923.693,5251.34,1043,698,1651,1009,949,989,678,467,634,1129,1158,642,788,908,618,283,405,309,305,323,46,35,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Eucheuma denticulatum","Africa",81603.79,91034,97715,104839.5,117900,119130,173800,134795,115519,156882,136539.8,131954,107996.2,112760,88212.5,78060,72540,70920,95600,105970,72380,50910,38170,44050,37670,48740,40170,25590,18680,22230,25970,9080,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Gracilaria gracilis","Africa",0,0,0,0,50,50,130,130,130,130,130,580,530,432,127,170,167,162,159,88,32,32,25,33,27,49,27,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Hypophthalmichthys molitrix","Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,450,400,200,250,350,400,600,800,600,600,400,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Hypophthalmichthys nobilis","Africa",0,0,1.8,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
