"","year","total_production","group"
"1",1950,502714,"All"
"2",1951,604068,"All"
"3",1952,677599,"All"
"4",1953,798894,"All"
"5",1954,888326,"All"
"6",1955,992751,"All"
"7",1956,1040436,"All"
"8",1957,1366453,"All"
"9",1958,1348485,"All"
"10",1959,1604820,"All"
"11",1960,1754905,"All"
"12",1961,1678391,"All"
"13",1962,1712516,"All"
"14",1963,1941461,"All"
"15",1964,2130816,"All"
"16",1965,2265585,"All"
"17",1966,2463895,"All"
"18",1967,2563940,"All"
"19",1968,2694076,"All"
"20",1969,2810141,"All"
"21",1970,2941501,"All"
"22",1971,3323188,"All"
"23",1972,3686281,"All"
"24",1973,3860286,"All"
"25",1974,4241512,"All"
"26",1975,4438095,"All"
"27",1976,4483595,"All"
"28",1977,5273635,"All"
"29",1978,5576617,"All"
"30",1979,5648214,"All"
"31",1980,6250059,"All"
"32",1981,6450775,"All"
"33",1982,6758685,"All"
"34",1983,7511532,"All"
"35",1984,8400873,"All"
"36",1985,9198303,"All"
"37",1986,9966512,"All"
"38",1987,10748550,"All"
"39",1988,11841510,"All"
"40",1989,12520112,"All"
"41",1990,12584157,"All"
"42",1991,13824060,"All"
"43",1992,16236569,"All"
"44",1993,18675210,"All"
"45",1994,20519762,"All"
"46",1995,22346222,"All"
"47",1996,24654359,"All"
"48",1997,25117564,"All"
"49",1998,25426414,"All"
"50",1999,27343541,"All"
"51",2000,27495272.5,"All"
"52",2001,29271783.9,"All"
"53",2002,30984719.4,"All"
"54",2003,35326349,"All"
"55",2004,38540356.8,"All"
"56",2005,40986354.29,"All"
"57",2006,42995817.21,"All"
"58",2007,45352134.34,"All"
"59",2008,47917383.4,"All"
"60",2009,50182996.33,"All"
"61",2010,52284128.44,"All"
"62",2011,54330074.81,"All"
"63",2012,58218300.89,"All"
"64",2013,60459461.8,"All"
"65",2014,65772221.46,"All"
"66",2015,68296852.83,"All"
"67",2016,70806890.16,"All"
"68",2017,74115430.2,"All"
"69",2018,76386539.95,"All"
"70",2019,80980140.99,"All"
"71",2020,83690705.86,"All"
"72",2021,87004910.06,"All"
"73",2022,89252861.48,"All"
"74",2023,93289759.3,"All"
"75",1950,231930,"Finfish"
"76",1951,281915,"Finfish"
"77",1952,309690,"Finfish"
"78",1953,374633,"Finfish"
"79",1954,486067,"Finfish"
"80",1955,548032,"Finfish"
"81",1956,576618,"Finfish"
"82",1957,805091,"Finfish"
"83",1958,790510,"Finfish"
"84",1959,862839,"Finfish"
"85",1960,794341,"Finfish"
"86",1961,683931,"Finfish"
"87",1962,647248,"Finfish"
"88",1963,704130,"Finfish"
"89",1964,780776,"Finfish"
"90",1965,907450,"Finfish"
"91",1966,950928,"Finfish"
"92",1967,957129,"Finfish"
"93",1968,996045,"Finfish"
"94",1969,1062920,"Finfish"
"95",1970,1140993,"Finfish"
"96",1971,1226528,"Finfish"
"97",1972,1297481,"Finfish"
"98",1973,1375501,"Finfish"
"99",1974,1486801,"Finfish"
"100",1975,1578034,"Finfish"
"101",1976,1591374,"Finfish"
"102",1977,1679450,"Finfish"
"103",1978,1718556,"Finfish"
"104",1979,1857682,"Finfish"
"105",1980,2027440,"Finfish"
"106",1981,2316044,"Finfish"
"107",1982,2599985,"Finfish"
"108",1983,2926347,"Finfish"
"109",1984,3336038,"Finfish"
"110",1985,3947079,"Finfish"
"111",1986,4611597,"Finfish"
"112",1987,5297403,"Finfish"
"113",1988,5829458,"Finfish"
"114",1989,5936743,"Finfish"
"115",1990,6486931,"Finfish"
"116",1991,6543184,"Finfish"
"117",1992,7184786,"Finfish"
"118",1993,8305982,"Finfish"
"119",1994,9642116,"Finfish"
"120",1995,11294634,"Finfish"
"121",1996,12831303,"Finfish"
"122",1997,13478724,"Finfish"
"123",1998,13813997,"Finfish"
"124",1999,14636902,"Finfish"
"125",2000,15225114,"Finfish"
"126",2001,16223183.4,"Finfish"
"127",2002,16738978,"Finfish"
"128",2003,17921143,"Finfish"
"129",2004,19486253.4,"Finfish"
"130",2005,20662758.83,"Finfish"
"131",2006,21687414.59,"Finfish"
"132",2007,22932561.13,"Finfish"
"133",2008,24892923.78,"Finfish"
"134",2009,26234589.28,"Finfish"
"135",2010,27555966.51,"Finfish"
"136",2011,28508763.26,"Finfish"
"137",2012,30397086.12,"Finfish"
"138",2013,31752355.44,"Finfish"
"139",2014,33386510.15,"Finfish"
"140",2015,34760541.76,"Finfish"
"141",2016,35691334.8,"Finfish"
"142",2017,36663701.94,"Finfish"
"143",2018,38112944.14,"Finfish"
"144",2019,39421005.73,"Finfish"
"145",2020,40358785.38,"Finfish"
"146",2021,41723685.99,"Finfish"
"147",2022,43163077.46,"Finfish"
"148",2023,44614506.25,"Finfish"
"149",1950,34441,"Algae"
"150",1951,36058,"Algae"
"151",1952,53173,"Algae"
"152",1953,50033,"Algae"
"153",1954,57093,"Algae"
"154",1955,73032,"Algae"
"155",1956,83662,"Algae"
"156",1957,132517,"Algae"
"157",1958,131473,"Algae"
"158",1959,291784,"Algae"
"159",1960,460119,"Algae"
"160",1961,509110,"Algae"
"161",1962,521700,"Algae"
"162",1963,588941,"Algae"
"163",1964,693731,"Algae"
"164",1965,721655,"Algae"
"165",1966,880361,"Algae"
"166",1967,943346,"Algae"
"167",1968,980893,"Algae"
"168",1969,1082715,"Algae"
"169",1970,1138425,"Algae"
"170",1971,1417380,"Algae"
"171",1972,1594506,"Algae"
"172",1973,1647121,"Algae"
"173",1974,1924013,"Algae"
"174",1975,1862658,"Algae"
"175",1976,1906712,"Algae"
"176",1977,2508193,"Algae"
"177",1978,2773182,"Algae"
"178",1979,2728277,"Algae"
"179",1980,3011377,"Algae"
"180",1981,2880560,"Algae"
"181",1982,2842421,"Algae"
"182",1983,3174241,"Algae"
"183",1984,3560136,"Algae"
"184",1985,3611036,"Algae"
"185",1986,3552135,"Algae"
"186",1987,3432813,"Algae"
"187",1988,3907031,"Algae"
"188",1989,4395855,"Algae"
"189",1990,3829911,"Algae"
"190",1991,4756252,"Algae"
"191",1992,6077708,"Algae"
"192",1993,6949199,"Algae"
"193",1994,7243252,"Algae"
"194",1995,7209895,"Algae"
"195",1996,7896859,"Algae"
"196",1997,7663750,"Algae"
"197",1998,7367003,"Algae"
"198",1999,7926755,"Algae"
"199",2000,7449741,"Algae"
"200",2001,7510250,"Algae"
"201",2002,8162242,"Algae"
"202",2003,10042370,"Algae"
"203",2004,11067034.2,"Algae"
"204",2005,11932958.8,"Algae"
"205",2006,12071637.1,"Algae"
"206",2007,12368307.5,"Algae"
"207",2008,12686134.2,"Algae"
"208",2009,13220822.75,"Algae"
"209",2010,13540484.1,"Algae"
"210",2011,14307475.55,"Algae"
"211",2012,16020583.5,"Algae"
