year,score,group,score_type,dataset
1950,51.85741259362637,All,f,f_1
1951,51.878656345611226,All,f,f_1
1952,52.017255745914554,All,f,f_1
1953,51.96913459547837,All,f,f_1
1954,52.14135735645966,All,f,f_1
1955,52.23486681472427,All,f,f_1
1956,52.27240426983555,All,f,f_1
1957,52.48941351779545,All,f,f_1
1958,52.52469801973536,All,f,f_1
1959,52.86204847579827,All,f,f_1
1960,53.09233252022924,All,f,f_1
1961,53.21057445367076,All,f,f_1
1962,53.14976180695102,All,f,f_1
1963,53.08892737990759,All,f,f_1
1964,53.23094095896882,All,f,f_1
1965,53.24765967225496,All,f,f_1
1966,53.37309002503266,All,f,f_1
1967,53.32654466767686,All,f,f_1
1968,53.21379158110118,All,f,f_1
1969,53.41693704019532,All,f,f_1
1970,53.44007177837875,All,f,f_1
1971,53.59979200555115,All,f,f_1
1972,53.50243729921911,All,f,f_1
1973,53.402548033553714,All,f,f_1
1974,53.44902695377616,All,f,f_1
1975,53.408492648668826,All,f,f_1
1976,53.37727370461718,All,f,f_1
1977,53.65389533260473,All,f,f_1
1978,53.79556269503476,All,f,f_1
1979,53.702224951923185,All,f,f_1
1980,53.706183116466164,All,f,f_1
1981,53.51607948873551,All,f,f_1
1982,53.465477305754234,All,f,f_1
1983,53.52691741347,All,f,f_1
1984,53.504770185598886,All,f,f_1
1985,53.4306927740521,All,f,f_1
1986,53.21119362777233,All,f,f_1
1987,53.028351309987805,All,f,f_1
1988,53.12409300087061,All,f,f_1
1989,53.21273207412216,All,f,f_1
1990,52.9889292988952,All,f,f_1
1991,53.17575389284218,All,f,f_1
1992,53.33831050662619,All,f,f_1
1993,53.43598264241764,All,f,f_1
1994,53.366662960084405,All,f,f_1
1995,53.21035885069211,All,f,f_1
1996,53.21116592246554,All,f,f_1
1997,53.088037180514746,All,f,f_1
1998,53.04917924107917,All,f,f_1
1999,53.05423935014902,All,f,f_1
2000,52.83662692096092,All,f,f_1
2001,52.82725752008292,All,f,f_1
2002,52.871424605592345,All,f,f_1
2003,52.65824641920468,All,f,f_1
2004,52.64437300980835,All,f,f_1
2005,52.599193733003084,All,f,f_1
2006,52.586977328606274,All,f,f_1
2007,52.4510980342174,All,f,f_1
2008,52.28861418031385,All,f,f_1
2009,52.2732250901215,All,f,f_1
2010,52.27525725764942,All,f,f_1
2011,52.22071983342697,All,f,f_1
2012,52.180495302786944,All,f,f_1
2013,52.19291539701204,All,f,f_1
2014,52.254983651576445,All,f,f_1
2015,52.2637846134588,All,f,f_1
2016,52.22359953712351,All,f,f_1
2017,52.152738268525205,All,f,f_1
