year,score,group,score_type,dataset
1950,54.8337694360884,All,f,f_1
1951,54.68059025105603,All,f,f_1
1952,54.67819220438044,All,f,f_1
1953,54.60162716662004,All,f,f_1
1954,55.08771287555572,All,f,f_1
1955,55.143995619959775,All,f,f_1
1956,55.136342372992715,All,f,f_1
1957,55.25599736627857,All,f,f_1
1958,55.13210986212416,All,f,f_1
1959,54.89350191077683,All,f,f_1
1960,54.48337351814666,All,f,f_1
1961,54.43799703931408,All,f,f_1
1962,54.229665493150634,All,f,f_1
1963,54.01803310796652,All,f,f_1
1964,53.99221945944617,All,f,f_1
1965,54.13559988585836,All,f,f_1
1966,54.013486164546215,All,f,f_1
1967,53.958492941344026,All,f,f_1
1968,53.89682105724686,All,f,f_1
1969,53.909018871460596,All,f,f_1
1970,54.13680049908459,All,f,f_1
1971,53.99361625317934,All,f,f_1
1972,53.791076388339256,All,f,f_1
1973,53.919564715447606,All,f,f_1
1974,53.948355931882666,All,f,f_1
1975,53.9180601076046,All,f,f_1
1976,53.83201968137987,All,f,f_1
1977,53.65107429265537,All,f,f_1
1978,53.5628515020612,All,f,f_1
1979,53.56616064088785,All,f,f_1
1980,53.543868761640454,All,f,f_1
1981,53.75512518693649,All,f,f_1
1982,53.85606776679168,All,f,f_1
1983,53.902652859983135,All,f,f_1
1984,53.94133678719344,All,f,f_1
1985,54.05566493242337,All,f,f_1
1986,54.24125351570547,All,f,f_1
1987,54.29210864402297,All,f,f_1
1988,54.31230017506051,All,f,f_1
1989,54.07635424329331,All,f,f_1
1990,54.251558910537064,All,f,f_1
1991,54.00921474864617,All,f,f_1
1992,53.91227235123351,All,f,f_1
1993,54.00076436846854,All,f,f_1
1994,54.12695117401725,All,f,f_1
1995,54.15841623959791,All,f,f_1
1996,54.14402963832418,All,f,f_1
1997,54.11596175091127,All,f,f_1
1998,54.15516103424279,All,f,f_1
1999,54.11483985903765,All,f,f_1
2000,54.02092994446964,All,f,f_1
2001,54.164734292318464,All,f,f_1
2002,54.12845639974557,All,f,f_1
2003,53.90618330424535,All,f,f_1
2004,53.73603200288451,All,f,f_1
2005,53.65131351007457,All,f,f_1
2006,53.628099278822745,All,f,f_1
2007,53.513124388605185,All,f,f_1
2008,53.427402469876306,All,f,f_1
2009,53.41175838158166,All,f,f_1
2010,53.40362732479963,All,f,f_1
2011,53.35819275525016,All,f,f_1
2012,53.27883134077805,All,f,f_1
2013,53.32675782676942,All,f,f_1
2014,53.23668738142366,All,f,f_1
2015,53.22959196605096,All,f,f_1
2016,53.17236967539912,All,f,f_1
2017,53.00179111203103,All,f,f_1
2018,52.896979545050094,All,f,f_1
2019,52.75558518723044,All,f,f_1
2020,52.69483958963852,All,f,f_1
2021,52.62297147284091,All,f,f_1
2022,52.59334062121571,All,f,f_1
2023,52.26684462249178,All,f,f_1
1950,58.69625260097482,Finfish,f,f_1
1951,58.322321051815784,Finfish,f,f_1
1952,58.25664785629361,Finfish,f,f_1
1953,58.165869877045026,Finfish,f,f_1
1954,57.914101135257575,Finfish,f,f_1
1955,57.88354920782458,Finfish,f,f_1
1956,57.80993759880245,Finfish,f,f_1
1957,57.539843046256564,Finfish,f,f_1
1958,57.5410479301313,Finfish,f,f_1
1959,57.53539160674294,Finfish,f,f_1
1960,57.63282170526345,Finfish,f,f_1
1961,57.863476558878475,Finfish,f,f_1
1962,57.79974681118053,Finfish,f,f_1
1963,57.668132440449604,Finfish,f,f_1
1964,57.56498340506869,Finfish,f,f_1
1965,57.337017688471995,Finfish,f,f_1
1966,57.329906657098824,Finfish,f,f_1
1967,57.25863724793578,Finfish,f,f_1
1968,57.209620646257505,Finfish,f,f_1
1969,57.114653467534374,Finfish,f,f_1
1970,57.049406399960915,Finfish,f,f_1
1971,56.89253321285346,Finfish,f,f_1
1972,56.78970274400421,Finfish,f,f_1
1973,56.73537345294227,Finfish,f,f_1
1974,56.66491187196268,Finfish,f,f_1
1975,56.67760743527886,Finfish,f,f_1
1976,56.542160979649594,Finfish,f,f_1
1977,56.46991248965598,Finfish,f,f_1
1978,56.33638191170955,Finfish,f,f_1
1979,56.241225494763235,Finfish,f,f_1
1980,56.25228589660467,Finfish,f,f_1
1981,56.42345025291942,Finfish,f,f_1
1982,56.472381263261106,Finfish,f,f_1
1983,56.451964894126874,Finfish,f,f_1
1984,56.4555010416166,Finfish,f,f_1
