year,score,group,score_type,dataset
1950,50.048820767952016,All,f,f_1
1951,50.241302592797986,All,f,f_1
1952,50.26812487454879,All,f,f_1
1953,50.34629659279072,All,f,f_1
1954,50.09252863974893,All,f,f_1
1955,50.07557350616491,All,f,f_1
1956,50.02727355948232,All,f,f_1
1957,49.9856025706801,All,f,f_1
1958,50.13520834864632,All,f,f_1
1959,49.848401170686834,All,f,f_1
1960,49.67975285490389,All,f,f_1
1961,49.56859890750259,All,f,f_1
1962,49.660764727175724,All,f,f_1
1963,49.710202782465274,All,f,f_1
1964,49.56561513140367,All,f,f_1
1965,49.49187657396462,All,f,f_1
1966,49.375073385121254,All,f,f_1
1967,49.32403684089724,All,f,f_1
1968,49.353695234000455,All,f,f_1
1969,49.21409460296288,All,f,f_1
1970,49.218591696024,All,f,f_1
1971,49.11417557647755,All,f,f_1
1972,49.05562570057611,All,f,f_1
1973,49.115143047935874,All,f,f_1
1974,49.072352944916446,All,f,f_1
1975,49.10096457758467,All,f,f_1
1976,49.09005685289035,All,f,f_1
1977,49.030064050729116,All,f,f_1
1978,48.962663431170554,All,f,f_1
1979,48.874181035774114,All,f,f_1
1980,48.986778086768084,All,f,f_1
1981,49.019497261693736,All,f,f_1
1982,49.03542869523341,All,f,f_1
1983,49.01688414524876,All,f,f_1
1984,48.89521996699598,All,f,f_1
1985,48.884163676924345,All,f,f_1
1986,48.80756006429337,All,f,f_1
1987,48.69852384575231,All,f,f_1
1988,48.633539474230176,All,f,f_1
1989,48.63896935877205,All,f,f_1
1990,48.55309511720628,All,f,f_1
1991,48.51074565762514,All,f,f_1
1992,48.47303862600233,All,f,f_1
1993,48.37557714500204,All,f,f_1
1994,48.2610127801896,All,f,f_1
1995,48.227877037887026,All,f,f_1
1996,48.2077711750124,All,f,f_1
1997,48.1286496542744,All,f,f_1
1998,48.07969435222048,All,f,f_1
1999,47.96073339162422,All,f,f_1
2000,47.89784034810213,All,f,f_1
2001,47.89412643735086,All,f,f_1
2002,47.9206817370258,All,f,f_1
2003,48.04612961369721,All,f,f_1
2004,48.18212753026962,All,f,f_1
2005,48.24151742386468,All,f,f_1
2006,48.23272225110705,All,f,f_1
2007,48.200633623454024,All,f,f_1
2008,48.120054106406556,All,f,f_1
2009,48.148513373583896,All,f,f_1
2010,48.19851905362079,All,f,f_1
2011,48.17414608251096,All,f,f_1
2012,48.13592112967137,All,f,f_1
2013,48.17769171367948,All,f,f_1
2014,48.179396727811046,All,f,f_1
2015,48.20598219392681,All,f,f_1
2016,48.252582897270074,All,f,f_1
2017,48.23633915432732,All,f,f_1
2018,48.14342687219321,All,f,f_1
2019,48.10767056408587,All,f,f_1
2020,48.039200181151514,All,f,f_1
2021,48.03184756662675,All,f,f_1
2022,48.116381074567336,All,f,f_1
2023,48.21098868201053,All,f,f_1
1950,48.061067432348445,Finfish,f,f_1
1951,48.47016849271257,Finfish,f,f_1
1952,48.60944336557781,Finfish,f,f_1
1953,48.7678774400302,Finfish,f,f_1
1954,48.78316833092808,Finfish,f,f_1
1955,48.87169694920951,Finfish,f,f_1
1956,48.837458709775504,Finfish,f,f_1
1957,49.07194624655139,Finfish,f,f_1
1958,49.32783716372363,Finfish,f,f_1
1959,49.21657493621046,Finfish,f,f_1
1960,49.02953207759056,Finfish,f,f_1
1961,48.81549983881056,Finfish,f,f_1
1962,48.786287108295845,Finfish,f,f_1
1963,48.75103807059582,Finfish,f,f_1
1964,48.70259366928775,Finfish,f,f_1
1965,48.71745928437042,Finfish,f,f_1
1966,48.682489963825724,Finfish,f,f_1
1967,48.496004733105785,Finfish,f,f_1
1968,48.49457252429148,Finfish,f,f_1
1969,48.523858647976475,Finfish,f,f_1
1970,48.47792199131305,Finfish,f,f_1
1971,48.38353751381125,Finfish,f,f_1
1972,48.13376105468527,Finfish,f,f_1
1973,48.107325327825144,Finfish,f,f_1
1974,48.11608469351791,Finfish,f,f_1
1975,48.059119535718686,Finfish,f,f_1
1976,48.06877182472758,Finfish,f,f_1
1977,48.0474910792312,Finfish,f,f_1
1978,48.06620163086867,Finfish,f,f_1
1979,48.02860374550823,Finfish,f,f_1
1980,48.20118538233243,Finfish,f,f_1
1981,48.334333654288095,Finfish,f,f_1
1982,48.457399483370956,Finfish,f,f_1
1983,48.51801637682182,Finfish,f,f_1
1984,48.328334572360184,Finfish,f,f_1
1985,48.3622444113577,Finfish,f,f_1
1986,48.23702518458,Finfish,f,f_1
1987,48.062447552959576,Finfish,f,f_1
1988,47.969354752487334,Finfish,f,f_1
1989,48.1338138158144,Finfish,f,f_1
1990,48.004993159185574,Finfish,f,f_1
1991,47.94980122353664,Finfish,f,f_1
1992,48.01453972347167,Finfish,f,f_1
1993,47.95601103018809,Finfish,f,f_1
1994,47.85230038875684,Finfish,f,f_1
1995,47.76807706304636,Finfish,f,f_1
1996,47.77103549773952,Finfish,f,f_1
1997,47.67448048195592,Finfish,f,f_1
1998,47.582640234623305,Finfish,f,f_1
1999,47.46132411912556,Finfish,f,f_1
2000,47.385296244457756,Finfish,f,f_1
2001,47.356083306093275,Finfish,f,f_1
2002,47.3237772845054,Finfish,f,f_1
2003,47.18437612665805,Finfish,f,f_1
2004,47.334345201992825,Finfish,f,f_1
2005,47.38239675154457,Finfish,f,f_1
2006,47.28976080608964,Finfish,f,f_1
2007,47.29183287361813,Finfish,f,f_1
2008,47.30535290260924,Finfish,f,f_1
2009,47.41809341945818,Finfish,f,f_1
2010,47.49719864444354,Finfish,f,f_1
2011,47.34986261961798,Finfish,f,f_1
2012,47.246943584805166,Finfish,f,f_1
2013,47.33618209867979,Finfish,f,f_1
2014,47.301920109731824,Finfish,f,f_1
2015,47.3834188307846,Finfish,f,f_1
2016,47.43568731605224,Finfish,f,f_1
2017,47.402403300878525,Finfish,f,f_1
2018,47.432613990118035,Finfish,f,f_1
2019,47.326924128857414,Finfish,f,f_1
2020,47.19067277773509,Finfish,f,f_1
2021,47.15696412382447,Finfish,f,f_1
2022,47.19088698964378,Finfish,f,f_1
2023,47.225376146206045,Finfish,f,f_1
1950,48.50201431608868,Algae,f,f_1
1951,48.5009050746483,Algae,f,f_1
1952,48.43733820218643,Algae,f,f_1
1953,48.45395356099484,Algae,f,f_1
1954,48.43200885978634,Algae,f,f_1
1955,48.390087304856884,Algae,f,f_1
1956,48.37654463669897,Algae,f,f_1
1957,48.32502113805109,Algae,f,f_1
1958,48.245943971439736,Algae,f,f_1
1959,48.07580625767602,Algae,f,f_1
1960,48.040602391987704,Algae,f,f_1
1961,48.065419904505234,Algae,f,f_1
1962,48.070479869794944,Algae,f,f_1
1963,48.06305745668962,Algae,f,f_1
1964,48.02203906103628,Algae,f,f_1
1965,48.0300812845866,Algae,f,f_1
1966,48.05638086958759,Algae,f,f_1
1967,48.10302292467885,Algae,f,f_1
1968,48.152139559693516,Algae,f,f_1
1969,48.08733216527145,Algae,f,f_1
1970,48.153812586360175,Algae,f,f_1
1971,48.21626190150942,Algae,f,f_1
1972,48.20618102044136,Algae,f,f_1
1973,48.31378092254974,Algae,f,f_1
1974,48.35948647866066,Algae,f,f_1
1975,48.27804317132084,Algae,f,f_1
1976,48.32770159302861,Algae,f,f_1
1977,48.299052652159624,Algae,f,f_1
1978,48.24736104745668,Algae,f,f_1
1979,48.23738709810295,Algae,f,f_1
1980,48.25628317840956,Algae,f,f_1
1981,48.300216753100926,Algae,f,f_1
1982,48.27922232231687,Algae,f,f_1
1983,48.286389881903006,Algae,f,f_1
1984,48.27783099028455,Algae,f,f_1
1985,48.24698790872158,Algae,f,f_1
1986,48.29291525261183,Algae,f,f_1
1987,48.27996575896708,Algae,f,f_1
1988,48.24989158746696,Algae,f,f_1
1989,48.228136644270826,Algae,f,f_1
1990,48.23448088309496,Algae,f,f_1
1991,48.24359823891782,Algae,f,f_1
1992,48.214173435473754,Algae,f,f_1
1993,48.18624010718042,Algae,f,f_1
1994,48.24060744242271,Algae,f,f_1
1995,48.23557995547813,Algae,f,f_1
1996,48.2313469476513,Algae,f,f_1
1997,48.24759370557038,Algae,f,f_1
1998,48.227955735238275,Algae,f,f_1
1999,48.20002680889687,Algae,f,f_1
2000,48.24993643099414,Algae,f,f_1
2001,48.30008134267095,Algae,f,f_1
2002,48.32631039196679,Algae,f,f_1
2003,48.58756325470693,Algae,f,f_1
2004,48.71973553370103,Algae,f,f_1
2005,48.73766333833346,Algae,f,f_1
2006,48.74795496156826,Algae,f,f_1
2007,48.78434512642377,Algae,f,f_1
2008,48.80679321716555,Algae,f,f_1
2009,48.862857291528286,Algae,f,f_1
2010,48.869023741537994,Algae,f,f_1
2011,48.9402896611202,Algae,f,f_1
2012,49.0331714784027,Algae,f,f_1
2013,49.122474969803214,Algae,f,f_1
2014,49.01904455519485,Algae,f,f_1
2015,48.99567780039781,Algae,f,f_1
2016,49.06313320490122,Algae,f,f_1
2017,49.04938671950113,Algae,f,f_1
2018,48.95851474617088,Algae,f,f_1
2019,49.08091466794322,Algae,f,f_1
2020,49.134668589104194,Algae,f,f_1
2021,49.164501793629476,Algae,f,f_1
2022,49.44054305333882,Algae,f,f_1
2023,49.24039628536754,Algae,f,f_1
1950,40.60874980946816,Crustacean,f,f_1
1951,40.59140332349214,Crustacean,f,f_1
1952,40.462959194046334,Crustacean,f,f_1
1953,40.52560064403412,Crustacean,f,f_1
1954,40.48154511876798,Crustacean,f,f_1
1955,40.52560064403412,Crustacean,f,f_1
1956,40.93872000072592,Crustacean,f,f_1
1957,40.93186694696594,Crustacean,f,f_1
1958,40.8170170790735,Crustacean,f,f_1
1959,40.712869257089594,Crustacean,f,f_1
1960,40.57446983762765,Crustacean,f,f_1
1961,40.40603005563657,Crustacean,f,f_1
1962,40.129056306431124,Crustacean,f,f_1
1963,39.91854719045035,Crustacean,f,f_1
1964,39.7920936892521,Crustacean,f,f_1
1965,39.73231008502391,Crustacean,f,f_1
1966,39.89270248225586,Crustacean,f,f_1
1967,40.02087731931813,Crustacean,f,f_1
1968,40.49333333297678,Crustacean,f,f_1
1969,41.669229741710666,Crustacean,f,f_1
1970,41.76569499799795,Crustacean,f,f_1
1971,41.343607679537605,Crustacean,f,f_1
1972,41.6942000671999,Crustacean,f,f_1
1973,42.18558618060331,Crustacean,f,f_1
1974,42.58999875771743,Crustacean,f,f_1
1975,43.2299272675853,Crustacean,f,f_1
1976,43.190123377388396,Crustacean,f,f_1
1977,43.09531128058974,Crustacean,f,f_1
1978,43.9121874636604,Crustacean,f,f_1
1979,43.09241409630348,Crustacean,f,f_1
1980,44.34464267020654,Crustacean,f,f_1
1981,43.874105893724725,Crustacean,f,f_1
1982,44.472804496684425,Crustacean,f,f_1
1983,45.39114130249927,Crustacean,f,f_1
1984,45.63791373856945,Crustacean,f,f_1
1985,45.09696794325791,Crustacean,f,f_1
1986,45.02117096780169,Crustacean,f,f_1
1987,45.941067791341126,Crustacean,f,f_1
1988,46.60995700929487,Crustacean,f,f_1
1989,46.22142165424863,Crustacean,f,f_1
1990,46.27343884683203,Crustacean,f,f_1
1991,46.62972469562809,Crustacean,f,f_1
1992,46.596333928086274,Crustacean,f,f_1
1993,45.96210093476066,Crustacean,f,f_1
1994,45.84845071839191,Crustacean,f,f_1
1995,45.861092125550194,Crustacean,f,f_1
1996,45.80839482912374,Crustacean,f,f_1
1997,45.73997805945179,Crustacean,f,f_1
1998,45.846136145876585,Crustacean,f,f_1
1999,45.22785037583217,Crustacean,f,f_1
2000,45.15909146290927,Crustacean,f,f_1
2001,45.74758377385579,Crustacean,f,f_1
2002,46.51667173483103,Crustacean,f,f_1
2003,48.34304988503667,Crustacean,f,f_1
2004,48.98414576433393,Crustacean,f,f_1
2005,49.544806719142834,Crustacean,f,f_1
2006,49.93175407746318,Crustacean,f,f_1
2007,49.43028848596288,Crustacean,f,f_1
2008,48.77206955320888,Crustacean,f,f_1
2009,48.44064667140879,Crustacean,f,f_1
2010,48.653080557623724,Crustacean,f,f_1
2011,49.16479323490134,Crustacean,f,f_1
2012,49.107560049158515,Crustacean,f,f_1
2013,48.893226509322986,Crustacean,f,f_1
2014,49.07637638422455,Crustacean,f,f_1
2015,49.06363342399866,Crustacean,f,f_1
2016,49.00535149924007,Crustacean,f,f_1
2017,48.959232956228426,Crustacean,f,f_1
2018,48.24947729254286,Crustacean,f,f_1
2019,47.904938049567924,Crustacean,f,f_1
2020,47.79473557752987,Crustacean,f,f_1
2021,47.81293276494406,Crustacean,f,f_1
2022,47.844421775116956,Crustacean,f,f_1
2023,47.809469289752975,Crustacean,f,f_1
1950,52.239285215848604,Bivalve,f,f_1
1951,52.21867194872289,Bivalve,f,f_1
1952,52.2214705988774,Bivalve,f,f_1
1953,52.1934540352911,Bivalve,f,f_1
1954,52.222953960086095,Bivalve,f,f_1
1955,52.19593002586328,Bivalve,f,f_1
1956,52.21100214449609,Bivalve,f,f_1
1957,52.227948118319965,Bivalve,f,f_1
1958,52.22882803229341,Bivalve,f,f_1
1959,52.2252671200421,Bivalve,f,f_1
1960,52.23452949238995,Bivalve,f,f_1
1961,52.22349244879541,Bivalve,f,f_1
1962,52.244171461421246,Bivalve,f,f_1
1963,52.262835144247816,Bivalve,f,f_1
1964,52.239883658760945,Bivalve,f,f_1
1965,52.27164699090346,Bivalve,f,f_1
1966,52.27428459512235,Bivalve,f,f_1
1967,52.280964850157304,Bivalve,f,f_1
1968,52.220835985660585,Bivalve,f,f_1
1969,52.20416329160808,Bivalve,f,f_1
1970,52.378517609519974,Bivalve,f,f_1
1971,52.37218647276232,Bivalve,f,f_1
1972,52.334737909558555,Bivalve,f,f_1
1973,52.42274376669399,Bivalve,f,f_1
1974,52.54869843817301,Bivalve,f,f_1
1975,52.40519842224974,Bivalve,f,f_1
1976,52.3812943209992,Bivalve,f,f_1
1977,52.4298497713355,Bivalve,f,f_1
1978,52.4064864921031,Bivalve,f,f_1
1979,52.29345592694631,Bivalve,f,f_1
1980,52.38028263377696,Bivalve,f,f_1
1981,52.30418704420679,Bivalve,f,f_1
1982,52.29587481154113,Bivalve,f,f_1
1983,52.2558363803396,Bivalve,f,f_1
1984,52.21987920841975,Bivalve,f,f_1
1985,52.19111964924292,Bivalve,f,f_1
1986,52.150530368097456,Bivalve,f,f_1
1987,52.05643804503045,Bivalve,f,f_1
1988,52.07175213294281,Bivalve,f,f_1
1989,51.885595263203825,Bivalve,f,f_1
1990,51.76261313507103,Bivalve,f,f_1
1991,51.60583170649823,Bivalve,f,f_1
1992,51.10668611066985,Bivalve,f,f_1
1993,50.7508106313099,Bivalve,f,f_1
1994,50.35857374734308,Bivalve,f,f_1
1995,50.58050054350532,Bivalve,f,f_1
1996,50.61401249320066,Bivalve,f,f_1
1997,50.45182429011312,Bivalve,f,f_1
1998,50.43372275147226,Bivalve,f,f_1
1999,50.14959833228228,Bivalve,f,f_1
2000,50.27222000357607,Bivalve,f,f_1
2001,50.07953257915652,Bivalve,f,f_1
2002,49.997543746252475,Bivalve,f,f_1
2003,49.97206834706612,Bivalve,f,f_1
2004,49.812546552685504,Bivalve,f,f_1
2005,49.72134726315633,Bivalve,f,f_1
2006,49.65786702999957,Bivalve,f,f_1
2007,49.64933689809497,Bivalve,f,f_1
2008,49.60166536971539,Bivalve,f,f_1
2009,49.55994842028271,Bivalve,f,f_1
2010,49.479208258723865,Bivalve,f,f_1
2011,49.34995611211039,Bivalve,f,f_1
2012,49.298092188960126,Bivalve,f,f_1
2013,49.265805360609136,Bivalve,f,f_1
2014,49.28491537274536,Bivalve,f,f_1
2015,49.24894742845303,Bivalve,f,f_1
2016,49.2223530409524,Bivalve,f,f_1
2017,49.17077584608321,Bivalve,f,f_1
2018,49.28147494781124,Bivalve,f,f_1
2019,49.35925456101595,Bivalve,f,f_1
2020,49.26570890529928,Bivalve,f,f_1
2021,49.25003225453045,Bivalve,f,f_1
2022,49.22409069382914,Bivalve,f,f_1
2023,50.97105991792583,Bivalve,f,f_1
1950,49.291417342906975,All,f,f_2
1951,49.56088912262286,All,f,f_2
1952,49.63191720976137,All,f,f_2
1953,49.73437477547321,All,f,f_2
1954,49.53773744191642,All,f,f_2
1955,49.55960868286783,All,f,f_2
1956,49.51479711284621,All,f,f_2
1957,49.57234155771765,All,f,f_2
1958,49.76467597726861,All,f,f_2
1959,49.54272107987378,All,f,f_2
1960,49.371803923121966,All,f,f_2
1961,49.2353594148698,All,f,f_2
1962,49.296215583293474,All,f,f_2
1963,49.32338601891184,All,f,f_2
1964,49.21044757621784,All,f,f_2
1965,49.161442038135746,All,f,f_2
1966,49.076818491859235,All,f,f_2
1967,48.99522532119021,All,f,f_2
1968,49.02393047977018,All,f,f_2
1969,48.93275437234549,All,f,f_2
1970,48.927233415663814,All,f,f_2
1971,48.84583553058067,All,f,f_2
1972,48.744844176288076,All,f,f_2
1973,48.7821465778239,All,f,f_2
1974,48.76450209678594,All,f,f_2
1975,48.75612909021077,All,f,f_2
1976,48.75690376367937,All,f,f_2
1977,48.726371511554504,All,f,f_2
