"","species","f","c","b","common_name","category"
"1","Carassius carassius",49.8259121807382,50.1160693378838,47.6482988198123,"Crucian carp","Finfish"
"3","Chanos chanos",61.918354424379,48.2187281669811,44.3260958812256,"Milkfish","Finfish"
"4","Clarias gariepinus",50.1013817269653,43.662826856459,43.5622724595549,"African sharptooth catfish","Finfish"
"5","Crassostrea virginica",54.0597051423563,41.9151025330263,55.5493959242684,"Eastern oyster","Bivalve"
"6","Ctenopharyngodon idella",52.7187062221642,49.2314743330352,54.8555469691694,"Grass carp","Finfish"
"7","Cyprinus carpio",59.427859098238,58.6512883766338,40.3636503709844,"Common carp","Finfish"
"8","Dicentrarchus labrax",48.4187466149491,46.2079038645842,48.4383365088213,"European seabass","Finfish"
"9","Epinephelus coioides",47.5958016151831,41.5517609506579,40.3458561362625,"Orange-spotted grouper","Finfish"
"10","Eriocheir sinensis",45.4647443289993,49.7009540454428,53.0178250951306,"Chinese mitten crab","Crustacean"
"12","Eucheuma denticulatum",51.6547645305286,67.7744392253542,67.7672907189564,"Spiny eucheuma","Algae"
"13","Gracilaria gracilis",53.9008344747906,54.2041219499413,71.7111221157571,"Ogonori","Algae"
"14","Hypophthalmichthys molitrix",58.0104846601109,51.901472542794,41.9548871215831,"Silver carp","Finfish"
"15","Hypophthalmichthys nobilis",61.8622543491962,53.3266609424379,54.2600709012721,"Bighead carp","Finfish"
"16","Kappaphycus alvarezii",54.3869559863452,54.0028578385901,73.9303566750899,"Elkhorn sea moss","Algae"
"2","Labeo catla",50.5204635171246,44.5890709581772,52.847892610831,"Catla","Finfish"
"17","Labeo rohita",52.0993127640798,42.9934733646177,50.5591069620866,"Roho labeo","Finfish"
"19","Larimichthys crocea",45.2850896512356,41.200817425573,49.683257918552,"Large yellow croaker","Finfish"
"20","Lateolabrax japonicus",53.7460390050858,46.8967530002986,40.9551582176177,"Japanese seabass","Finfish"
"21","Lates calcarifer",51.5047795906672,36.5253590983726,24.6546820461887,"Barramundi or Giant seaperch","Finfish"
"22","Macrobrachium nipponense",53.6805334138409,35.4111364093969,53.977091213108,"Oriental river prawn","Crustacean"
"23","Macrobrachium rosenbergii",46.8097377424147,33.2882000883315,57.753524197026,"Giant river prawn","Crustacean"
