"","species","f","c","b","common_name","category"
"1","Carassius carassius",42.6446479811182,45.8375418111919,53.0710747139812,"Crucian carp","Finfish"
"3","Chanos chanos",54.1951392280052,37.1678532961949,50.043044181573,"Milkfish","Finfish"
"4","Clarias gariepinus",48.0938682520747,38.4324920275548,52.2602413088612,"African sharptooth catfish","Finfish"
"5","Crassostrea virginica",51.8751021624319,35.3037716085234,65.7060208091416,"Eastern oyster","Bivalve"
"6","Ctenopharyngodon idella",49.7377044990119,37.2206182349499,53.9648125132157,"Grass carp","Finfish"
"7","Cyprinus carpio",43.0058208939417,49.0406807290423,51.5085546067356,"Common carp","Finfish"
"8","Dicentrarchus labrax",30.2934837136036,29.3258045894729,48.5571254771663,"European seabass","Finfish"
"9","Epinephelus coioides",30.4768878644146,29.3258045894729,39.134229730023,"Orange-spotted grouper","Finfish"
"10","Eriocheir sinensis",31.973764842221,31.6714819343729,55.1210879352047,"Chinese mitten crab","Crustacean"
"12","Eucheuma denticulatum",48.7781609737339,47.6807373708521,69.5450271368983,"Spiny eucheuma","Algae"
"13","Gracilaria gracilis",51.9243859256845,49.0956554167444,73.8491350365952,"Ogonori","Algae"
"14","Hypophthalmichthys molitrix",54.0559836333428,41.7694983048118,54.5029084486667,"Silver carp","Finfish"
"15","Hypophthalmichthys nobilis",47.6067765897755,41.7576214871418,61.0786336378714,"Bighead carp","Finfish"
"16","Kappaphycus alvarezii",48.5308056872038,49.0956554167444,73.9357843938618,"Elkhorn sea moss","Algae"
"2","Labeo catla",48.4142290700962,39.1510005192196,53.610209894485,"Catla","Finfish"
"17","Labeo rohita",46.0367643307415,38.3253141428251,58.3751226775133,"Roho labeo","Finfish"
"19","Larimichthys crocea",36.6497219216041,29.989701338826,49.683257918552,"Large yellow croaker","Finfish"
"20","Lateolabrax japonicus",36.9590043825823,29.2366350168202,42.33521653985,"Japanese seabass","Finfish"
"21","Lates calcarifer",46.7500927904639,29.3258045894729,34.9458571314807,"Barramundi or Giant seaperch","Finfish"
"22","Macrobrachium nipponense",54.2219794371451,25.7529922018337,54.0900377825531,"Oriental river prawn","Crustacean"
"23","Macrobrachium rosenbergii",50.6258774989053,31.6714819343729,61.1545078580207,"Giant river prawn","Crustacean"
"24","Magallana gigas",51.9572953736655,37.2779935069069,62.602426483047,"Pacific cupped oyster","Bivalve"
"25","Megalobrama amblycephala",28.2949221717656,40.1928314414214,54.104941922931,"Wuchang bream","Finfish"
"26","Micropterus salmoides",37.5701759332821,29.3517960193213,43.9036905695901,"Largemouth black bass","Finfish"
"27","Mizuhopecten yessoensis",56.0735724117239,39.7832360162404,55.8435774001591,"Yesso scallop or giant Ezo scallop","Bivalve"
"28","Mugil cephalus",45.1379773672016,29.3258045894729,42.5461017631307,"Flathead grey mullet","Finfish"
"29","Mylopharyngodon piceus",44.827380479731,38.3253141428251,52.9167153072122,"Black carp","Finfish"
"30","Mytilus chilensis",55.2068385372854,43.8028017669898,71.3033953997809,"Chilean mussel","Bivalve"
"31","Mytilus edulis",52.5923829403336,48.0464590647483,65.9744417794666,"Blue mussel","Bivalve"
"32","Mytilus galloprovincialis",52.5923829403336,43.1167699502663,71.2631812393869,"Mediterranean mussel","Bivalve"
"33","Oncorhynchus kisutch",42.1292391982613,29.7682317813611,38.8304103041434,"Coho salmon","Finfish"
"34","Oncorhynchus mykiss",45.4203493045505,40.4122517012802,50.1504173771263,"Rainbow trout","Finfish"
"36","Oreochromis niloticus",56.8360201971919,51.4998669791946,52.464936054559,"Nile tilapia","Finfish"
"38","Pangasianodon hypophthalmus",46.6532262583675,38.4324920275548,55.6174426910745,"Striped catfish","Finfish"
